Document Title,Authors,Author Affiliations,Publication Title,Date Added To Xplore,Publication_Year,Volume,Issue,Start Page,End Page,Abstract,ISSN,ISBNs,DOI,Funding Information,PDF Link,Author Keywords,IEEE Terms,INSPEC Controlled Terms,INSPEC Non-Controlled Terms,Mesh_Terms,Article Citation Count,Reference Count,License,Online Date,Issue Date,Meeting Date,Publisher,Document Identifier
Experimental Settings in Program Comprehension: Challenges and Open Issues,G. A. Di Lucca; M. Di Penta,"University of Sannio, Benevento, Italy; NA",14th IEEE International Conference on Program Comprehension (ICPC'06),,2006,,,229,234,"Several approaches to program comprehension have been proposed along the years, ranging from fact extraction to sophisticated visualization tools. In order to effectively assess the benefits of each approach, or to properly compare different techniques, it is necessary to carry out a proper, well-defined experimentation. This work session aims to discuss the main issues in preparing experimental settings related to the evaluation of approaches and tools supporting program comprehension, as well as to promote networking aiming to carry on collaborative experimentations",1092-8138,0-7695-2601,10.1109/ICPC.2006.23,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1631125,Empirical studies;program comprehension,Software tools;Visualization;Collaborative tools;Collaborative work;Human factors;Software maintenance;Instruments;Software systems;Performance evaluation;Packaging,program visualisation;reverse engineering;software maintenance,program comprehension;program visualization tool,,4,11,,,,,IEEE,IEEE Conferences
A study on the impact of emotional quotient on program comprehension,A. Savarimuthu; L. Arockiam; A. Aloysius,"Human resource Management, St. Joseph's College, Tiruchirappalli - 2, India; Computer Science, St. Joseph's College, Tiruchirappalli - 2, India; Computer Science, St. Joseph's College, Tiruchirappalli - 2, India",2010 International Conference on Communication and Computational Intelligence (INCOCCI),,2010,,,357,361,"Emotional Quotient (aka. Emotional Intelligence Quotient (EIQ)) can be described as the capacity for recognizing our own feelings and those of others, for motivating ourselves, and for managing emotions well in us and in our relationships. The primary objective of this work is to study the impact of EQ on the primary cognitive processes namely comprehension in Object oriented Systems. Comprehension is an understanding of the program code. The PG students were involved in all the experiments conducted. Java programs with various features of OO programming were given for comprehension. From the experiments that were conducted to find the relation between the program comprehension ability and the EQ values, it is identified that the EQ values have an impact on the program comprehension in the various OO features such as Inheritance and Polymorphism. The results of the experiments conducted may be used by the recruiter to carefully select the candidates for OO software development.",,978-81-8371-369,,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5738757,Emotional Quotient (aka. Emotional Intelligence Quotient (EIQ));Program Comprehension;OO Systems,Programming profession;Humans;Educational institutions;Psychology;Training;Debugging,cognition;human computer interaction;Java;object-oriented methods;object-oriented programming;software engineering,emotional quotient;program comprehension;emotional intelligence quotient;primary cognitive process;object oriented system;Java program;OO programming;program comprehension ability;polymorphism;OO software development,,,26,,,,,IEEE,IEEE Conferences
Scalable Program Comprehension for Analyzing Complex Defects,S. C. Kothari,NA,2008 16th IEEE International Conference on Program Comprehension,,2008,,,3,4,"We describe the query-model-refine (QMR) approach for retrieving and modeling information for program comprehension. The QMR approach allows the flexibility to design and execute application-specific problem-solving strategies to suit particular program comprehension goals. The QMR approach has been used for building a number of program comprehension tools for different applications: interactive automatic parallelization, business rule analysis, auditing safety-critical control software, and defect analysis. This presentation will be about a program comprehension tool called Atlas and we will show its use for analyzing complex defects.",1092-8138,978-0-7695-3176,10.1109/ICPC.2008.44,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4556111,Scalable;Program Comprehension;Complex Defects,Humans;Software tools;Information retrieval;Application software;Software safety;Information analysis;Artificial intelligence;Aerospace electronics;Space technology;Operating systems,program debugging;program diagnostics;query processing,scalable program comprehension;query-model-refine approach;problem-solving strategy;interactive automatic parallelization;business rule analysis;safety-critical control software;Atlas,,2,5,,,,,IEEE,IEEE Conferences
A retrospective view on: The role of concepts in program comprehension: (MIP award),V. Rajlich; N. Wilde,"Department of Computer Science, Wayne State University, Detroit, MI, U.S.A.; Department of Computer Science, University of West Florida, Pensacola, FL, U.S.A.",2012 20th IEEE International Conference on Program Comprehension (ICPC),,2012,,,12,13,"This retrospective briefly recapitulates highlights of the original paper that was published at IWPC 2002. Then it overviews research directions of the last 10 years: research in tools and techniques of concept location a that aim to support software developer, research of integrated model of software change, creation of software engineering course that emphasizes the role of software developer in iterative and agile software processes, and further basic research into the role and properties of concepts.",1092-8138,978-1-4673-1216-5978-1-4673-1213-4978-1-4673-1215,10.1109/ICPC.2012.6240480,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6240480,partial program comprehension;as needed comprehension;concepts and features;concept location;software as repository of knowledge;constructivist learning,Software engineering;Pragmatics;Software tools;Education;Ontologies,iterative methods;software engineering,retrospective view;program comprehension;MIP award;concept location;software developer;integrated model;software change;software engineering course;agile software processes;iterative processes,,,12,,,,,IEEE,IEEE Conferences
Overview of Program Comprehension,W. Kechao; W. Tiantian; S. Xiaohong; M. Peijun,NA; NA; NA; NA,2012 International Conference on Computer Science and Electronics Engineering,,2012,1,,601,605,"With the increasing of software requirements, software is becoming larger and larger. It becomes an important problem to maintain the software. Thus understanding the program exactly, rapidly and comprehensively plays an important role. This paper has presented the related research of program comprehension, summarized six typical program comprehension strategies and compared these strategies.",,978-0-7695-4647-6978-1-4673-0689,10.1109/ICCSEE.2012.285,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6187918,software maintenance;program comprehension,Educational institutions;Knowledge based systems;Semantics;Programming;Software maintenance;Conferences,formal specification;reverse engineering;software maintenance,program comprehension overview;software requirements;software maintenance;program comprehension strategies,,,15,,,,,IEEE,IEEE Conferences
User evaluation of a domain specific program comprehension tool,L. Moonen,"Simula Research Laboratory, P.O. Box 134, N-1325 Lysaker, Norway",2012 First International Workshop on User Evaluation for Software Engineering Researchers (USER),,2012,,,45,48,"The user evaluation in this paper concerns a domain-specific tool to support the comprehension of large safety-critical component-based software systems for the maritime sector. We discuss the context and motivation of our research, and present the user-specific details of our tool, called FlowTracker. We include a walk-through of the system and present the profiles of our prospective users. Next, we discuss the design of an exploratory qualitative study that we have conducted to evaluate the usability and effectiveness of our tool. We conclude with a summary of lessons learned and challenges that we see for user evaluation of such domain-specific program comprehension tools.",,978-1-4673-1859-4978-1-4673-1858,10.1109/USER.2012.6226583,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6226583,user evaluation;domain specific tooling;program comprehension;software visualization,Actuators;Safety;Software;Navigation;Visualization;Sensor systems,marine engineering;object-oriented programming;reverse engineering;safety-critical software;software tools,user evaluation;domain specific program comprehension tool;large safety-critical component-based software system;maritime sector;FlowTracker;tool usability;tool effectiveness,,,13,,,,,IEEE,IEEE Conferences
[Journal First] A Comparison of Program Comprehension Strategies by Blind and Sighted Programmers,A. Armaly; P. Rodeghero; C. McMillan,NA; NA; NA,2018 IEEE/ACM 40th International Conference on Software Engineering (ICSE),,2018,,,788,788,"Programmers who are blind use a screen reader to speak source code one word at a time, as though the code were text. This process of reading is in stark contrast to sighted programmers, who skim source code rapidly with their eyes. At present, it is not known whether the difference in these processes has effects on the program comprehension gained from reading code. These effects are important because they could reduce both the usefulness of accessibility tools and the generalizability of software engineering studies to persons with low vision. In this paper, we present an empirical study comparing the program comprehension of blind and sighted programmers. We found that both blind and sighted programmers prioritize reading method signatures over other areas of code. Both groups obtained an equal and high degree of comprehension, despite the different reading processes.",1558-1225,978-1-4503-5638-1978-1-5386-5293,10.1145/3180155.3182544,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8453151,Program comprehension;accessibility technology;blindness,Software engineering;Tools;Java;Measurement;Software maintenance;Visualization,handicapped aids;programming environments;public domain software;software engineering,program comprehension strategies;sighted programmers;source code;reading processes,,,,,,,,IEEE,IEEE Conferences
Infusing Topic Modeling into Interactive Program Comprehension: An Empirical Study,T. Wang; Y. Liu,NA; NA,2017 IEEE 41st Annual Computer Software and Applications Conference (COMPSAC),,2017,2,,260,261,"Automatic and semi-automatic approaches supporting program comprehension are sought by researchers and practitioners to facilitate software engineering tasks, such as development, maintenance, extension and so on. Using topic modeling is a promising way to automatically discover feature and structure from textual software assets. However, there are gaps between knowing and doing when applying topic modeling to software engineering practice. In this paper, we explored how to infuse topic modeling into understanding Java programs in a generic level, and summarized the whole procedure as a methodology called MAT. MAT utilizes essential information automatically generated from Java projects to establish a project overview and to bring search capability for software engineers. Experiments on two open source Java projects suggest that MAT can support program comprehension for Java software engineers during carrying on software maintenance and extension tasks.",0730-3157,978-1-5386-0367-3978-1-5386-0368,10.1109/COMPSAC.2017.151,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8029929,Mining software assets;Java program comprehension;Topic models,Software;Java;Software engineering;Computational modeling;Maintenance engineering;Analytical models;Semantics,data mining;document handling;Java;project management;public domain software;software maintenance;software management,topic modeling;interactive program comprehension;software engineering tasks;feature discovery;textual software assets;Java programs;MAT;open source Java projects;software maintenance;document collection,,,7,,,,,IEEE,IEEE Conferences
SymAnalyzer: A Symbolic Analysis Tool for Program Comprehension,E. Laitila,NA,2009 13th European Conference on Software Maintenance and Reengineering,,2009,,,325,326,"In this paper, we present a program comprehension tool, called SymAnalyzer, which uses symbolic analysis as its main mechanism to help software engineers understand symbolic flows of the the most relevant sequences. Captured information is useful in troubleshooting and familiarization.",1534-5351,978-1-4244-3755-9978-0-7695-3589,10.1109/CSMR.2009.56,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4812787,Program comprehension;symbolic analysis,Software maintenance;Information analysis;Space technology;Analytical models;Computational modeling;Logic programming;Tin;Software tools;Software systems;Data mining,program diagnostics;software tools,SymAnalyzer;symbolic analysis tool;program comprehension tool;software engineering,,,2,,,,,IEEE,IEEE Conferences
Poster: Knowledge Transfer from Research to Industry: A Survey on Program Comprehension,I. von Nostitz-Wallwitz; J. Krüger; J. Siegmund; T. Leich,NA; NA; NA; NA,2018 IEEE/ACM 40th International Conference on Software Engineering: Companion (ICSE-Companion),,2018,,,300,301,"The number of scientific publications is continuously increasing, with most publications describing research that is also interesting for industrial software engineers. Program comprehension in particular is an essential and time consuming task in industry, but new approaches are rarely adopted.We conducted a survey with 89 participants from research and industry to investigate this problem. Our results indicate that researchers have to integrate other ways to communicate their work and make evaluations more practical.",2574-1934,978-1-4503-5663-3978-1-5386-6479,,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8449549,Program comprehension;survey;knowledge transfer,Tools;Knowledge transfer;Task analysis;Industries;Jacobian matrices;Software engineering;Programming,knowledge management;program diagnostics;software engineering,knowledge transfer;program comprehension;industrial software engineers,,,,,,,,IEEE,IEEE Conferences
Workshop on Program Comprehension Through Dynamic Analysis (PCODA'08),A. Zaidman; A. Hamou-Lhadj; O. Greevy; D. Röthlisberger,NA; NA; NA; NA,2008 15th Working Conference on Reverse Engineering,,2008,,,345,346,"Applying program comprehension techniques may render software maintenance and evolution easier. Understanding a software system typically requires a combination of static and dynamic analysis techniques. The aim of this workshop is to bring together researchers and practitioners working in the area of program comprehension with an emphasis on dynamic analysis. We are interested in investigating how dynamic analysis techniques are used or can be used to enable better comprehension of a software system. The objective is to compare existing techniques, identify common case studies and possible symbioses for existing solutions. Building upon three previous editions of the workshop, we aim to set up a forum for exchanging experiences, discussing solutions, and exploring new ideas.",1095-1350;2375-5369,978-0-7695-3429,10.1109/WCRE.2008.21,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4656435,dynamic analysis;program comprehension,Conferences;Performance analysis;Reverse engineering;Software;Evolution (biology);Software maintenance;Special issues and sections,program diagnostics;software maintenance,program comprehension techniques;dynamic analysis techniques;software maintenance;software evolution;software system;static analysis techniques,,1,3,,,,,IEEE,IEEE Conferences
Measuring Program Comprehension: A Large-Scale Field Study with Professionals,X. Xia; L. Bao; D. Lo; Z. Xing; A. E. Hassan; S. Li,NA; NA; NA; NA; NA; NA,2018 IEEE/ACM 40th International Conference on Software Engineering (ICSE),,2018,,,584,584,"This paper is published in IEEE Transaction on Software Engineering (DOI: 10.1109/TSE.2017.2734091). Comparing with previous programming comprehension studies that are usually in controlled settings or have a small number of participants, we perform a more realistic investigation of program comprehension activities. To do this, we extend our ActivitySpace framework to collect and analyze Human-Computer Interaction (HCI) data across many applications (not just the IDEs). We collect 3,148 working hour data from 78 professional developers in a field study. We follow Minelli et al.'s approach to assign developers' activities into four categories: navigation, editing, comprehension, and other. Then we measure comprehension time by calculating the time that developers spend on program comprehension. We find that on average developers spend ~58% of their time on program comprehension activities, and that they frequently use web browsers and document editors to perform program comprehension activities. We also investigate the impact of programming language, developers' experience, and project phase on the time that is spent on program comprehension.",1558-1225,978-1-4503-5638-1978-1-5386-5293,10.1145/3180155.3182538,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8453126,Program Comprehension;Field Study;Inference Model,Computer science;Software;Software engineering;Australia;Conferences;Software measurement;Information technology,online front-ends;reverse engineering;software engineering;software maintenance,large-scale field study;program comprehension activities;measure comprehension time;professional developers;program comprehension measurement,,,,,,,,IEEE,IEEE Conferences
Context and Vision: Studying Two Factors Impacting Program Comprehension,Z. Soh,NA,2011 IEEE 19th International Conference on Program Comprehension,,2011,,,258,261,"Linguistic information derived from identifiers and comments has a paramount role in program comprehension. Indeed, very often, program documentation is scarce and when available, it is almost always outdated. Previous research works showed that program comprehension is often solely grounded on identifiers and comments and that, ultimately, it is the quality of comments and identifiers that impact the accuracy and efficiency of program comprehension. Previous works also investigated the factors influencing program comprehension. However, they are limited by the available tools used to establish relations between cognitive processes and program comprehension. The goal of our research work is to foster our understanding of program comprehension by better understanding its implied underlying cognitive processes. We plan to study vision as the fundamental mean used by developers to understand a code in the context of a given program. Vision is indeed the trigger mechanism starting any cognitive process, in particular in program comprehension. We want to provide supporting evidence that context guides the cognitive process toward program comprehension. Therefore, we will perform a series of empirical studies to collect observations related to the use of context and vision in program comprehension. Then, we will propose laws and then derive a theory to explain the observable facts and predict new facts. The theory could be used in future empirical studies and will provide the relation between program comprehension and cognitive processes.",1092-8138;1092-8138,978-1-61284-308-7978-0-7695-4398,10.1109/ICPC.2011.37,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5970176,Program comprehension;cognitive process;vision science;program context,Context;Conferences;Visualization;Software;Software engineering;Maintenance engineering;Computers,software development management;system documentation,program comprehension;linguistic information;program documentation;cognitive processes,,1,25,,,,,IEEE,IEEE Conferences
Case studies of optimized sequence diagram for program comprehension,M. Srinivasan; Jeong Yang; Young Lee,"Electrical Engineering and Computer Science, Texas A&M University- Kingsville, USA; Electrical Engineering and Computer Science, Texas A&M University- Kingsville, USA; Electrical Engineering and Computer Science, Texas A&M University- Kingsville, USA",2016 IEEE 24th International Conference on Program Comprehension (ICPC),,2016,,,1,4,"In large project, source code becomes increasing complex and lengthy so program comprehension plays an important and significant role for developers. Sequence diagram generated using static source code or dynamic only approach provides limited execution coverage, additionally contains redundant, dead and fault driven methods, which increase the size of the diagram and complexity. In this paper, to address the problems, optimized sequence diagrams were developed by combining static source code and dynamic only approach, also incorporating various levels of abstraction in order to reduce complexity and provide complete behavior of the system. Case studies determined from the sequence diagram for three systems generated based on source code only and fully dynamic approach proved that the proposed optimized sequence diagrams were less complex and provided more detailed description of the functionality of the system.",,978-1-5090-1428,10.1109/ICPC.2016.7503734,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7503734,sequence diagram;polymorphism;object-oriented;visualization;program comprehension,Animals;Visualization;Measurement;Java;Complexity theory;Conferences;Reverse engineering,object-oriented methods;source code (software),program comprehension;static source code;fault driven methods;complexity;optimized sequence diagrams,,5,14,,,,,IEEE,IEEE Conferences
Studying Onboarding to Improve Program Comprehension Tool Support,R. Yates,NA,2010 IEEE Symposium on Visual Languages and Human-Centric Computing,,2010,,,257,258,"Gaining an understanding of unfamiliar software systems is hard. Existing support tools are based on studies of the information sought by software developers, but often the developers themselves do not know what to look for. Here an alternative is proposed: by studying the information `pushed' from software experts to new developers during onboarding, the information provided by the experts can be analysed and compared to the information `pulled' by the new developers. The content and presentation of this data will inform tool design for onboarding support.",1943-6106;1943-6092,978-1-4244-8485,10.1109/VLHCC.2010.47,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5635249,onboarding;program comprehension,Software;Programming;Conferences;Data visualization;USA Councils;Companies;Computational modeling,software tools,program comprehension tool support;software system;software developer;tool design,,,11,,,,,IEEE,IEEE Conferences
