Document Title	Document Title - ajusted	DOI	PDF Link	Authors	Author Affiliations	Publication Title	Date Added To Xplore	Publication Year	Volume	Issue	Start Page	End Page	Abstract	ISSN	ISBNs	Funding Information	Author Keywords	IEEE Terms	INSPEC Controlled Terms	INSPEC Non-Controlled Terms	Mesh_Terms	Article Citation Count	Patent Citation Count	Reference Count	License	Online Date	Issue Date	Meeting Date	Publisher	Document Identifier
A Gamification Technique for Motivating Students to Learn Code Readability in Software Engineering	a gamification technique for motivating students to learn code readability in software engineering	10.1109/ISET.2018.00062	https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8456230	Q. Mi; J. Keung; X. Mei; Y. Xiao; W. K. Chan	Department of Computer Science, City University of Hong Kong, Hong Kong; Department of Computer Science, City University of Hong Kong, Hong Kong; Department of Computer Science, City University of Hong Kong, Hong Kong; Department of Computer Science, City University of Hong Kong, Hong Kong; Department of Computer Science, City University of Hong Kong, Hong Kong	2018 International Symposium on Educational Technology (ISET)	6 Sep 2018	2018			250	254	Code readability is one of the important software quality attributes that computer science students need to learn in their programming classes, unfortunately most of the students do not have the necessary work experience or background to appreciate the importance of code readability. Traditional methods of learning code readability tend to be less than interactive and practical in the classroom environment. With the advent of gamification technique, this study introduced a new interactive teaching method and implemented as GamiCRS, an online platform for students to learn code readability. The focus was on incorporating game-based mechanisms to enable students with positive attitudes towards a more interesting learning process. A complete incentive and reward model is proposed in the study together with a combination of both intrinsic and extrinsic motivators identified. To ensure its dynamic efficacy, a field experiment was carried out to compare GamiCRS with its non-gamified counterparts and to evaluate learning outcomes. The empirical results show a positive effect towards the application of GamiCRS in the classroom environment. As many learning activities in software engineering are typically challenging and seldom amusing, gamification can thus be applied as a compelling addition to supporting a wider variety of teaching tactics.		978-1-5386-7209-9		Code Readability;Gamification;Education;Crowdsourcing;Motivation;Technology Acceptance Model	Crowdsourcing;Education;Task analysis;Software engineering;Computer science;Urban areas;Software	computer aided instruction;computer games;computer science education;human factors;software engineering;software quality;teaching	gamification technique;code readability;software engineering;computer science students;student motivation;software quality attributes;interactive teaching method;GamiCRS;reward model;incentive model		7		14		6 Sep 2018			IEEE	IEEE Conferences
Measurement of Source Code Readability Using Word Concreteness and Memory Retention of Variable Names	measurement of source code readability using word concreteness and memory retention of variable names	10.1109/COMPSAC.2017.166	https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8029587	W. Xu; D. Xu; L. Deng	Department of Computer Science, Bowie State University, Bowie, MD, USA; Department of Computer Scienc, Boise State University, Boise, ID, USA; Department of Computer & Info Science, Towosn University, Towosn, MD, USA	2017 IEEE 41st Annual Computer Software and Applications Conference (COMPSAC)	11 Sep 2017	2017	1		33	38	Source code readability is critical to software quality assurance and maintenance. In this paper, we present a novel approach to the automated measurement of source code readability based on Word Concreteness and Memory Retention (WCMR) of variable names. The approach considers programming and maintenance as processes of organizing variables and their operations to describe solutions to specific problems. The overall readability of given source code is calculated from the readability of all variables contained in the source code. The readability of each variable is determined by how easily its meaning is memorized (i.e., word concreteness) and how quickly they are forgotten over time (i.e., memory retention). Our empirical study has used 14 open source applications with over a half-million lines of code and 10,000 warning defects. The result shows that the WCMR-based source code readability negatively correlates strongly with overall warning defect rates, and particularly with such warning as bad programming practices, code vulnerability, and correctness bug warning.	0730-3157	978-1-5386-0367-3		Code Readability;Variable Definitions and References;Word Concreteness;Memory Retention	Programming;Dictionaries;Maintenance engineering;Semantics;Software quality	program debugging;public domain software;software fault tolerance;software maintenance;software quality;source code (software)	variable names;code vulnerability;software quality assurance;open source applications;software maintenance;source code readability measurement;word concreteness and memory retention;WCMR;warning defects;correctness bug warning		1		22	IEEE	11 Sep 2017			IEEE	IEEE Conferences
An initial approach to assessing program comprehensibility using spatial complexity, number of concepts and typographical style	an initial approach to assessing program comprehensibility using spatial complexity, number of concepts and typographical style	10.1109/WCRE.2004.11	https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1374324	A. Mohan; N. Gold; P. Layzell	Information Systems Group, Department of Computation, UMIST (University of Manchester Institute of Science and Technology), UK; Information Systems Group, Department of Computation, UMIST (University of Manchester Institute of Science and Technology), UK; Information Systems Group, Department of Computation, UMIST (University of Manchester Institute of Science and Technology), UK	11th Working Conference on Reverse Engineering	17 jan. 2005	2004			246	255	Software evolution can result in making a program harder to maintain, as it becomes more difficult to comprehend. This difficulty is related to the way the source code is formatted, the complexity of the code, and the amount of information contained within it. This work presents an initial approach that uses measures of typographical style, spatial complexity and concept assignment to measure these factors, and to model the comprehensibility of an evolving program. The ultimate aim of which is to identify when a program becomes more difficult to comprehend, triggering a corrective action to be taken to prevent this. We present initial findings from applying this approach. These findings show that this approach, through measuring these three factors, can model the change in comprehensibility of an evolving program. Our findings support the well-known claim that programs become more complex as they evolve, explaining this increase in complexity in terms of layout changes, conceptual coherence, spatial relationships between source code elements, and the relationship between these factors. This in turn can then be used to understand how maintenance affects program comprehensibility and to ultimately reduce its burden on software maintenance.	1095-1350	0-7695-2243-2		software evolution;software maintenance;program comprehension;software quality	Software maintenance;Costs;Software quality;Gold;Information systems;Coherence;Software systems;Maintenance engineering;Guidelines;Monitoring	software maintenance;software quality;reverse engineering;computational complexity	software evolution;software maintenance;program comprehension;software quality;spatial complexity;typographical style;source code;concept assignment;layout changes;conceptual coherence;spatial relationships		3		29		17 jan. 2005			IEEE	IEEE Conferences
Basic Code Understanding Challenges for Elementary School Children	basic code understanding challenges for elementary school children	10.1109/RESPECT49803.2020.9272421	https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9272421	O. M. Nche; R. Boulware; S. M. Che; E. T. Kraemer; M. Sitaraman; V. B. Zordan	School of Computing, Clemson University; Business Development, Claflin University; College of Education, Clemson University; School of Computing, Clemson University; School of Computing, Clemson University; School of Computing, Clemson University	2020 Research on Equity and Sustained Participation in Engineering, Computing, and Technology (RESPECT)	4 Dec 2020	2020	1		1	2	We describe a research study aimed at understanding the basic code reasoning challenges of elementary school children. The research targets third to fifth grade African American students as a step towards making computer science accessible to all children. The study was conducted in a summer camp with 40 students and replicated with 20 new students the following summer. Also participating in the second summer camp were 19 returning students. For data collection, the study uses code-tracing activities involving concepts such as variables, assignments, operators, and sequencing. Performance data is automatically collected in the background as children engage in the activities incorporated in a video game and also through think-aloud sessions. Results include common code understanding challenges for all children.		978-1-7281-7172-2		Broadening participation;K-12 education;coding;game;summer camp;coding concepts	Games;Encoding;Sequential analysis;Education;Faces;Cognition;Writing	computer aided instruction;computer science education;serious games (computing)	returning students;basic code understanding challenges;common code understanding challenges;code-tracing activities;data collection;summer camp;computer science;fifth grade African American students;elementary school children;basic code reasoning challenges				10		4 Dec 2020			IEEE	IEEE Conferences
Pitekün: An Experimental Visual Tool to Assist Code Navigation and Code Understanding	pitekün an experimental visual tool to assist code navigation and code understanding	10.1109/SCCC.2014.31	https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7559691	J. Kubelka; A. Bergel; R. Robbes	Department of Computer Science (DCC), University of Chile jkubelka, abergel; Department of Computer Science (DCC), University of Chile jkubelka, abergel; Department of Computer Science (DCC), University of Chile jkubelka, abergel	2014 33rd International Conference of the Chilean Computer Science Society (SCCC)	5 Sep 2016	2014			135	137	Studies show that software developers spend significantly more time navigating and understanding a codebase than actually writing code. Oddly, code navigation and comprehension are poorly supported by current programming environments. We present the main lines of the Pitekϋn programming environment to mitigate the gap between developer information needs and the current tool support. Pitekun uses three techniques to address the gap: (i) a spatial representation of the codebase, (ii) visual cues, and (iii) polymetric views. We conjecture that Pitekun improves navigation in the codebase and in answering the questions developers ask when learning the codebase.	1522-4902	978-1-5090-0421-8		software engineering;development tool;code navigation	Visualization;Navigation;Context;Software;Maintenance engineering;Programming environments;Computer science	programming environments;reverse engineering;source code (software);visual programming	experimental visual tool;code navigation;code understanding;code comprehension;Pitekϋn programming environment;codebase spatial representation;visual cues;polymetric views						5 Sep 2016			IEEE	IEEE Conferences
Learning a Metric for Code Readability	learning a metric for code readability	10.1109/TSE.2009.70	https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5332232	R. P. L. Buse; W. R. Weimer	University of Virginia, Charlottesville, VA, USA; University of Virginia, Charlottesville, VA, USA	IEEE Transactions on Software Engineering	29 jul. 2010	2010	36	4	546	558	In this paper, we explore the concept of code readability and investigate its relation to software quality. With data collected from 120 human annotators, we derive associations between a simple set of local code features and human notions of readability. Using those features, we construct an automated readability measure and show that it can be 80 percent effective and better than a human, on average, at predicting readability judgments. Furthermore, we show that this metric correlates strongly with three measures of software quality: code changes, automated defect reports, and defect log messages. We measure these correlations on over 2.2 million lines of code, as well as longitudinally, over many releases of selected projects. Finally, we discuss the implications of this study on programming language design and engineering practice. For example, our data suggest that comments, in and of themselves, are less important than simple blank lines to local judgments of readability.	1939-3520			Software readability;program understanding;machine learning;software maintenance;code metrics;FindBugs.	Software quality;Humans;Software maintenance;Readability metrics;Documentation;Software measurement;Computer languages;Design engineering;Machine learning;Costs	human factors;software quality	code readability;software quality;local code features;human notions;code changes;automated defect reports;defect log messages;programming language design		175		41		13 nov. 2009			IEEE	IEEE Journals
Code Readability Metric for PHP	code readability metric for php	10.1109/GCCE46687.2019.9015229	https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9015229	C. T. Mon; S. S. Hlaing; M. M. Tin; M. M. Khin; T. M. M. Lwin; K. M. Myo	Myanmar Institute of Information Technology, Mandalay, Maynmar; Myanmar Institute of Information Technology, Mandalay, Maynmar; Myanmar Institute of Information Technology, Mandalay, Maynmar; Myanmar Institute of Information Technology, Mandalay, Maynmar; Myanmar Institute of Information Technology, Mandalay, Maynmar; Central Institute of Civil Service, Upper Myanmar	2019 IEEE 8th Global Conference on Consumer Electronics (GCCE)	27 Feb 2020	2019			929	930	PHP is one of the most popular languages that millions of websites and web applications are developed every month using PHP. In this paper, software metric related to code readability is developed and suitable set of attributes are identified for the given system to establish a software quality observatory for PHP language. Correlation criterion was used to empirically validate the developed metric and to find out the nature of relationship between the metric and other well-known metric. Moreover, the other validation, such as validation by using PHP Mess Detector (PHPMD) tool was also evaluated in the system. According to these analysis results, the proposed metric is applicable and usable to the field of software engineering metrics by providing a practical summary of the metric validation criteria found in the academic literature.	2378-8143	978-1-7281-3575-5		software metric;readability;software quality;Correlation;PHP Mess Detector	Tools;Software quality;Correlation;Readability metrics;Software measurement	program verification;software metrics;software quality	code readability metric;Web applications;software quality;PHP language;correlation criterion;PHP Mess Detector tool;software engineering metrics		2		9		27 Feb 2020			IEEE	IEEE Conferences
EGAN: An Effective Code Readability Classification using Ensemble Generative Adversarial Networks	egan an effective code readability classification using ensemble generative adversarial networks	10.1109/ICCAKM46823.2020.9051555	https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9051555	S. Sharma; S. Srivastava	Manipal University, Jaipur; Manipal University, Jaipur	2020 International Conference on Computation, Automation and Knowledge Management (ICCAKM)	2 Apr 2020	2020			312	316	Classification of code script readability (which corresponds to categorizing a source code as either readable or unreadable) has prompted severe concern in academia and industry. To construct accurate classification models, previous studies depended mainly upon handcrafted features. However, the manual feature engineering process is usually labor-intensive and can capture only partial information about the source code, which is likely to limit the model performance. To improve this, we propose the use of GAN's (Generative Adversarial Networks). First, we present a representation approach (with multiple granularities) to encode source codes as the input to GAN's into integer matrices. Then we propose an EGAN based on GAN's for the code readability classification. EGAN consists of three separate GANs with identical architectures that are trained on data preprocessed in different ways. We evaluate our approach against five state-of-the-art code readability models. The findings of the tests demonstrate that RGA can surpass previous approaches. The quality increase varies from 2% to 15%. EGAN offers reasonably improved performance by removing the need for manual interface design, demonstrating the usefulness of GAN's approaches in code readability classification tasks.		978-1-7281-0666-3				feature extraction;learning (artificial intelligence);matrix algebra;neural nets;pattern classification;software engineering;source code (software)	EGAN;code script readability;source code;code readability models;GAN approaches;code readability classification tasks;ensemble generative adversarial networks;integer matrices;RGA				14		2 Apr 2020			IEEE	IEEE Conferences
Evaluating the Reliability of Web Services Based on BPEL Code Structure Analysis and Run-Time Information Capture	evaluating the reliability of web services based on bpel code structure analysis and runtime information capture	10.1109/APSEC.2010.32	https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5693196	B. Li; X. Fan; Y. Zhou; Z. Su	School of Computer Science and Engineering, South-East University, China; School of Engineering, Pennsylvania State University, USA; School of Computer Science and Engineering, South-East University, China; School of Computer Science and Engineering, South-East University, China	2010 Asia Pacific Software Engineering Conference	20 jan. 2011	2010			206	215	In this article, an approach is proposed to evaluate the reliability of Web services, where three kinds of Web services are discussed, they are atomic service without the structural information, structural activity based composite service which is composed from other services by using a structural activity mechanism, and BPEL flow process based composite service which composes all kinds of atomic services and activity based composite services using BPEL language in an orchestration style. Firstly, the reliability of atomic service is evaluated based on an extended UDDI model, then, the reliability of activity based composite services is evaluated using BPEL code structure analysis, the reliability of atomic service, and function transition probability, finally, the reliability of BPEL flow process based composite web service was evaluated by a recursive algorithm. Case study and experimental results show the significance of the approach.	1530-1362	978-1-4244-8831-5		Web service;Reliability;Code structure analysis	Reliability;Web services;Mathematical model;Data models;Equations;Switches;Analytical models	recursive functions;service-oriented architecture;software reliability;specification languages;Web services	Web services;reliability;BPEL code structure analysis;run-time information capture;atomic service;structural activity;BPEL flow process;activity based composite services;BPEL language;orchestration style;extended UDDI model;function transition probability;recursive algorithm		8		18		20 jan. 2011			IEEE	IEEE Conferences
Bug Localization Approach Using Source Code Structure with Different Structure Fields	bug localization approach using source code structure with different structure fields	10.1109/SERA.2018.8477206	https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8477206	K. E. E. Swe; H. M. Oo	University of Computer Studies, Mandalay, Mandalay, Myanmar; University of Computer Studies, Mandalay, Mandalay, Myanmar	2018 IEEE 16th International Conference on Software Engineering Research, Management and Applications (SERA)	30 Sep 2018	2018			159	164	In bug localization approach, the information of the bug was used by developer to modify the source code where the errors occurred. To fix the source code that need to be correct is a problem for developer. Numerous automatic bug localization approaches by using information retrieval have been proposed. In this paper, we propose bug localization approach by combining structure of source code with different structure fields, similarity of bugs and stack-trace. It recommends relevance bug files to fix according to their highest scores. We additionally propose bug localization to consider the source code with three difference structure fields. In recent approaches source code files are consider as a single units. It may cause many noises when the source code file is large. We implement our approach on four open source projects (AspectJ, Eclipse and SWT). We then compute our approach in term of top-N rank, mean average precision (MAP) and mean reciprocal rank (MRR) evaluation metrics. The results show that the proposed system achieves significant results.		978-1-5386-5886-4		bug localization;code structure;stack-trace;information retrieval	Computer bugs;Software;Information retrieval;Semantics;Analytical models;Indexing;Standards	information retrieval;program debugging;public domain software;source code (software)	source code file;open source projects;bug localization approach;source code structure;bug files;structure fields;information retrieval;MAP;AspectJ;Eclipse;SWT;MRR;mean reciprocal rank evaluation metrics;mean average precision evaluation metrics;top-N rank evaluation metrics		1		18		30 Sep 2018			IEEE	IEEE Conferences
The signal code structure selection in the communication channels in the wireless sensor networks	the signal code structure selection in the communication channels in the wireless sensor networks	10.1109/MWENT.2018.8337290	https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8337290	V. V. Fedorenko; D. V. Aldushchenko; N. V. Listova; I. V. Samoylenko; V. V. Samoylenko	North-Caucasus Federal University, Stavropol, Russia; North-Caucasus Federal University, Stavropol, Russia; North-Caucasus Federal University, Stavropol, Russia; North-Caucasus Federal University, Stavropol, Russia; Stavropol State Agrarian University, Stavropol, Russia	2018 Moscow Workshop on Electronic and Networking Technologies (MWENT)	16 Apr 2018	2018			1	4	The algorithm of the signal code structure selection is proposed. The structure is optimum for the minimum criterion of the erroneous message transfer probability method under the conditions of the concentrated interferences in the channel and equipment signal distortions. The branch-and-bound method is realized. The effectiveness of this algorithm in computational complexity reduction in comparison with the methods of sequential sorting is shown for the parameters specific values of the distorted signal and interference.		978-1-5386-3498-1		Wireless Sensor Networks;Signal Distortion;Interference in the Communication Channel;Signals Correlation Indices;Signals Code Structure;Branch-and-Bound Method	Distortion;Interference;Wireless sensor networks;Linear matrix inequalities;Conferences;Communication channels;Harmonic analysis	computational complexity;radiofrequency interference;telecommunication channels;wireless sensor networks	signal code structure selection;communication channels;wireless sensor networks;erroneous message transfer probability method;equipment signal distortions;distorted signal;concentrated interferences;branch-and-bound method;computational complexity;sequential sorting;distorted interference		1		12		16 Apr 2018			IEEE	IEEE Conferences
Bug Localization Approach Based on Similar Bug Report, Stack Trace and Source Code Structure	bug localization approach based on similar bug report, stack trace and source code structure	10.1109/ICCTA43079.2017.9497154	https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9497154	K. E. E. Swe; H. M. Oo	University of Computer Studies, Mandalay, Mandalay, Myanmar; University of Computer Studies, Mandalay, Mandalay, Myanmar	2017 27th International Conference on Computer Theory and Applications (ICCTA)	30 jul. 2021	2017			57	62	Bug localization helps software developers to track post-released faulty source files with the help of user's reported bug files. Bug localization gains high popularity in software maintenance since many recent years due to its essential role to fix unavoidable bugs encountered in software development process. In this paper, we propose bug localization approach for locating erroneous faulty source files. It recommends relevant faulty source files to fix according to their highest similarity scores. We additionally exploit information retrieval techniques to consider the source and bug files as documents so that we can retrieve the similar terms from the code structures with different levels, historical bug documents and stack-trace information of both of files. We implement the proposed system on the top of BugLocator equipped with our methods and contributions. We then perform the experiments and compare the results with proficient contemporary approaches: BugLocator and BLUiR in terms of top-N rank, mean average precision (MAP) and mean reciprocal rank (MRR) evaluation metrics. The results show that the proposed system achieves more significant results than other approaches.		978-1-5386-3794-4		Bug localization;Code structure;Stack-trace;Bug report;Information retrieval	Location awareness;Measurement;Software maintenance;Computer bugs;Information retrieval	information retrieval;natural language processing;program debugging;public domain software;software maintenance	bug localization approach;similar bug report;stack trace;source code structure;software developers;post-released faulty source files;user;bug localization gains high popularity;software maintenance;unavoidable bugs;software development process;erroneous faulty source files;relevant faulty source files;highest similarity scores;bug files;similar terms;code structures;historical bug documents;stack-trace information				15		30 jul. 2021			IEEE	IEEE Conferences
CodeSurveyor: Mapping large-scale software to aid in code comprehension	codesurveyor mapping largescale software to aid in code comprehension	10.1109/VISSOFT.2015.7332419	https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7332419	N. Hawes; S. Marshall; C. Anslow	Oracle Labs, Brisbane, Australia; Victoria University of Wellington, Wellington, New Zealand; Middlesex University, London, UK	2015 IEEE 3rd Working Conference on Software Visualization (VISSOFT)	23 nov. 2015	2015			96	105	Large codebases - in the order of millions of lines of code (MLOC) - are incredibly complex. Whether fixing a fault, or implementing a new feature, changes to such systems often have unanticipated effects, as it is impossible for a developer to maintain a complete understanding of the code in their head. This paper presents CodeSurveyor, a spatial visualization technique that aims to support code comprehension in large codebases by allowing developers to view large-scale software at all levels of abstraction. It uses a cartographic metaphor to produce an interactive map of a codebase where users can zoom from a view of a system's high-level architectural components, represented as continents, down to the individual source files and the entities they define, shown as countries and states, respectively. The layout of the produced code map incorporates system dependency data and sizes regions according to a userconfigurable metric (line count by default), to create distinctive shapes and positions that serve as strong visual landmarks and keep users oriented. We detail the CodeSurveyor algorithm, show it generates code maps of the Linux kernel (1.4 MLOC) in 1.5 minutes, and evaluate the intuitiveness of the metaphor to software developers and its utility in navigation tasks. Results show the effectiveness of the approach with developers of varying experience levels.		978-1-4673-7526-9		software visualization;code comprehension	Layout;Visualization;Shape;Vocabulary;Measurement;Software systems	data visualisation;Linux;source code (software)	CodeSurveyor;large-scale software mapping;code comprehension;codebase;millions of lines of code;MLOC;spatial visualization technique;cartographic metaphor;interactive map;system high-level architectural components;source files;code map;system dependency data;user configurable metric;visual landmark;Linux kernel;navigation task;time 1.5 min		12		17		23 nov. 2015			IEEE	IEEE Conferences
Source code comprehension strategies and metrics to predict comprehension effort in software maintenance and evolution tasks - an empirical study with industry practitioners	source code comprehension strategies and metrics to predict comprehension effort in software maintenance and evolution tasks an empirical study with industry practitioners	10.1109/ICSM.2011.6080814	https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6080814	K. Nishizono; S. Morisakl; R. Vivanco; K. Matsumoto	Graduate School of Information Science, Nara Institute of Science and Technology, Ikoma, NARA, JAPAN; Faculty of Informatics, Shizuoka University, 3-5-1 Johoku, Naka, Hamamatsu, 432-8011 JAPAN; Department of Computer Science, University of Manitoba, Winnipeg, Canada; Graduate School of Information Science, Nara Institute of Science and Technology, Ikoma, NARA, JAPAN	2011 27th IEEE International Conference on Software Maintenance (ICSM)	17 nov. 2011	2011			473	481	The goal of this research was to assess the consistency of source code comprehension strategies and comprehension effort estimation metrics, such as LOC, across different types of modification tasks in software maintenance and evolution. We conducted an empirical study with software development practitioners using source code from a small paint application written in Java, along with four semantics-preserving modification tasks (refactoring, defect correction) and four semantics-modifying modification tasks (enhancive and modification). Each task has a change specification and corresponding source code patch. The subjects were asked to comprehend the original source code and then judge whether each patch meets the corresponding change specification in the modification task. The subjects recorded the time to comprehend and described the comprehension strategies used and their reason for the patch judgments. The 24 subjects used similar comprehension strategies. The results show that the comprehension strategies and effort estimation metrics are not consistent across different types of modification tasks. The recorded descriptions indicate the subjects scanned through the original source code and the patches when trying to comprehend patches in the semantics-modifying tasks while the subjects only read the source code of the patches in semantics-preserving tasks. An important metric for estimating comprehension efforts of the semantics-modifying tasks is the Code Clone Subtracted from LOC(CCSLOC), while that of semantics-preserving tasks is the number of referred variables.	1063-6773	978-1-4577-0664-6		source code comprehension;comprehension effort estimation metrics;semantics-preserving;semantics-modifying;software maintenance and evolution	Analytical models;Measurement	software maintenance;software metrics	source code comprehension;software maintenance;evolution task;comprehension effort estimation metrics;software evolution;software development practitioner;semantics-preserving modification task;refactoring;defect correction;semantics-modifying modification task;source code patch;code clone subtracted from LOC		8		17		17 nov. 2011			IEEE	IEEE Conferences
On Using Tree Visualisation Techniques to Support Source Code Comprehension	on using tree visualisation techniques to support source code comprehension	10.1109/VISSOFT.2016.8	https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7780163	I. Bacher; B. M. Namee; J. D. Kelleher	Dublin Institute of Technology, Dublin, Ireland; University College Dublin, Dublin, Ireland; Dublin Institute of Technology, Dublin, Ireland	2016 IEEE Working Conference on Software Visualization (VISSOFT)	12 Dec 2016	2016			91	95	This paper presents a design study that investigates the use of compact tree visualisations to provide software developers with an overview of the static structure of a source code document within a code editor in order to facilitate source code understanding and navigation. A prototype is presented which utilises an icicle tree visualisation to encode the control structure hierarchy of a source code document, as well as a circular treemap visualisation to encode the scope hierarchy of a source code document. An overview of the prototype and its functionality is given as well as a detailed discussion on the design rationale behind the tool. Possible applications and future work plans are also discussed.		978-1-5090-3850-3		Software visualisation;Tree visualisations techniques;Source code comprehension	Visualization;Software;Prototypes;Context;Navigation;Aerospace electronics;Data visualization	data visualisation;program control structures;software engineering;source code (software);trees (mathematics)	static structure;source code document;code editor;source code understanding;source code navigation;icicle tree visualisation;control structure hierarchy;circular treemap visualisation;scope hierarchy;design rationale;software development		4		23		12 Dec 2016			IEEE	IEEE Conferences
Considerations and Pitfalls in Controlled Experiments on Code Comprehension	considerations and pitfalls in controlled experiments on code comprehension	10.1109/ICPC52881.2021.00019	https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9463032	D. G. Feitelson	Department of Computer Science, The Hebrew University of Jerusalem, Jerusalem, Israel	2021 IEEE/ACM 29th International Conference on Program Comprehension (ICPC)	28 jun. 2021	2021			106	117	Understanding program code is a complicated endeavor. As such, myriad different factors can influence the outcome. Investigations of program comprehension, and in particular those using controlled experiments, have to take these factors into account. In order to promote the development and use of sound experimental methodology, we discuss potential problems with regard to the experimental subjects, the code they work on, the tasks they are asked to perform, and the metrics for their performance.	2643-7171	978-1-6654-1403-6		Code comprehension;experimental methodology	Measurement;Task analysis	software engineering	understanding program code;complicated endeavor;program comprehension;sound experimental methodology;code comprehension		3		96	IEEE	28 jun. 2021			IEEE	IEEE Conferences
Supporting Code Comprehension via Annotations: Right Information at the Right Time and Place	supporting code comprehension via annotations right information at the right time and place	10.1109/VL/HCC50065.2020.9127264	https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9127264	M. Adeli; N. Nelson; S. Chattopadhyay; H. Coffey; A. Henley; A. Sarma	Oregon State University, Corvallis, OR, USA; Oregon State University, Corvallis, OR, USA; Oregon State University, Corvallis, OR, USA; University of Tennessee-Knoxville, Knoxville, TN, USA; University of Tennessee-Knoxville, Knoxville, TN, USA; Oregon State University, Corvallis, OR, USA	2020 IEEE Symposium on Visual Languages and Human-Centric Computing (VL/HCC)	16 jul. 2020	2020			1	10	Code comprehension, especially understanding relationships across project elements (code, documentation, etc.), is non-trivial when information is spread across different interfaces and tools. Bringing the right amount of information, to the place where it is relevant and when it is needed can help reduce the costs of seeking information and creating mental models of the code relationships. While non-traditional IDEs have tried to mitigate these costs by allowing users to spatially place relevant information together, thus far, no study has examined the effects of these non-traditional interactions on code comprehension. Here, we present an empirical study to investigate how the right information at the right time and right place allows users—especially newcomers—to reduce the costs of code comprehension. We use a non-traditional IDE, called Synectic, and implement link-able annotations which provide affordances for the accuracy, time, and space dimensions. We conducted a between-subjects user study of 22 newcomers performing code comprehension tasks using either Synectic or a traditional IDE, Eclipse. We found that having the right information at the right time and place leads to increased accuracy and reduced cognitive load during code comprehension tasks, without sacrificing the usability of developer tools.	1943-6106	978-1-7281-6901-9		Code comprehension;annotation;information foraging;Integrated development environment (IDE);user study	Visualization;Codes;Costs;Annotations;Affordances;Documentation;Cognitive science	programming environments;reverse engineering	code comprehension;code relationships;mental models;IDE;annotations;Synectic;Eclipse;cognitive load;integrated development environment		2		55		16 jul. 2020			IEEE	IEEE Conferences
The Role of the Version Control Information in Code Comprehension	the role of the version control information in code comprehension	10.1109/Informatics47936.2019.9119278	https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9119278	T. Brunner; Z. Porkoláb	Department of Programming Languages and Compilers, Eötvös Loránd University, Budapest, Hungary; Department of Programming Languages and Compilers, Eötvös Loránd University, Budapest, Hungary	2019 IEEE 15th International Scientific Conference on Informatics	17 jun. 2020	2019			219	224	Most software comprehension frameworks use the source code as the main resource for information retrieval. Advanced code comprehension process, however, requires the utilization of the full knowledge portfolio of the software system. In this paper we investigate how the version control information of the project can be utilized for extending our apprehension of large legacy systems providing a better understanding of the software under examination. We show that some of the hidden structural connections between the elements of the program can be revealed most easily by the development history of the system. A prototype implementation of the method using git version control information has been implemented as an open source extension of the CodeCompass software comprehension framework.		978-1-7281-3180-1		code comprehension;version control;git;software technology		information retrieval;public domain software;software fault tolerance;software maintenance;software metrics;source code (software)	source code;information retrieval;advanced code comprehension process;knowledge portfolio;software system;legacy systems;git version control information;CodeCompass software comprehension framework;open source extension		1		22		17 jun. 2020			IEEE	IEEE Conferences
Towards Generating Plausible Distractors for Code Comprehension Multiple-Choice Questions	towards generating plausible distractors for code comprehension multiplechoice questions	10.1109/T4E.2019.00012	https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8983757	M. J. Srinivas; M. M. Roy; V. Kumar	Department of Computer Science and Engineering, PES University, Bangalore, India; Department of Computer Science and Engineering, PES University, Bangalore, India; Divecha Centre for Climate Change, Indian Institute of Science, Bangalore, India	2019 IEEE Tenth International Conference on Technology for Education (T4E)	6 Feb 2020	2019			19	22	Code comprehension is a critical skill that novice programmers must master. We develop a semi-automatic tool to help instructors rapidly create code comprehension Multiple-Choice Questions (MCQs). We conducted a preliminary survey with 10 MCQs and 10 respondents, and the results suggest that our tool can generate plausible distractors for these MCQs.		978-1-7281-4227-2		introductory programming, code comprehension, algorithmic abstraction, multiple choice questions	Tools;Databases;Programming profession;Writing;Semantics;Sorting	computer aided instruction;computer science education;educational administrative data processing;programming	plausible distractors;semiautomatic tool;code comprehension multiple-choice questions;novice programmer skill;code comprehension MCQs		1		14		6 Feb 2020			IEEE	IEEE Conferences
