Level	Source Paper	Direction	Raw Title	Title	Link	Year	Filter	Triage	Initial Selection	Final Selection
1	an experimental investigation of the effect of program structure on program understanding	Forward	A critique of three metrics	a critique of three metrics	https://www.sciencedirect.com/science/article/pii/0164121294900116	1994	Ok	Not acceptable	Not acceptable	Not acceptable
1	program indentation and comprehensibility	Forward	A data collection and representation framework for software and human-computer interaction measurements	a data collection and representation framework for software and humancomputer interaction measurements	https://search.proquest.com/openview/00615fd8a2f2799cd1818386420904d9/1?pq-origsite=gscholar&cbl=18750&diss=y	1999	Ok	Not acceptable	Not acceptable	Not acceptable
1	measuring neural efficiency of program comprehension	Backward	A Default Mode of Brain Function	a default mode of brain function	https://www.pnas.org/doi/10.1073/pnas.98.2.676	2001	Ok	Not acceptable	Not acceptable	Not acceptable
1	impacts of coding practices on readability	Backward	A formula for predicting readability: Instructions. Educational research bulletin	a formula for predicting readability instructions educational research bulletin	http://scholar.google.com/scholar?hl=en&q=Edgar+Dale+and+Jeanne+S+Chall.+1948.+A+formula+for+predicting+readability%3A+Instructions.+Educational+research+bulletin+%281948%29%2C+37%2D%2D54.	1948	Old	Not acceptable	Not acceptable	Not acceptable
1	program indentation and comprehensibility	Forward	A Function Dependency based Approach for Fault Localization with D.	a function dependency based approach for fault localization with d	https://pdfs.semanticscholar.org/e862/15f04fd21f87a81e4537244d7208131df270.pdf	2020	Ok	Not acceptable	Not acceptable	Not acceptable
1	the impact of identifier style on effort and comprehension	Forward	A fuzzy inference system to recommend skills for source code review using eye movement data	a fuzzy inference system to recommend skills for source code review using eye movement data	https://content.iospress.com/articles/journal-of-intelligent-and-fuzzy-systems/ifs169467	2018	Ok	Acceptable	Not acceptable	Not acceptable
1	impacts of coding practices on readability	Backward	A General Software Readability Model	a general software readability model	http://scholar.google.com/scholar?hl=en&q=Jonathan+Dorn.+2012.+A+General+Software+Readability+Model.+MSC+Thesis+avaiable+from+%28http%3A%2F%2Fwww.cs.virginia.edu%2Fweimer%2Fstudents%2Fdorn-mcs-paper.pdf%29+%282012%29.	2012	Ok	Not acceptable	Not acceptable	Not acceptable
1	indentation simply a matter of style or support for program comprehension	Forward	A human study of comprehension and code summarization	a human study of comprehension and code summarization	https://dl.acm.org/doi/abs/10.1145/3387904.3389258	2020	Ok	Not Acceptable	Not acceptable	Not acceptable
1	measuring neural efficiency of program comprehension	Forward	A human study of comprehension and code summarization	a human study of comprehension and code summarization	https://dl.acm.org/doi/abs/10.1145/3387904.3389258	2020	Duplicate	Not acceptable	Not acceptable	Not acceptable
1	the impact of identifier style on effort and comprehension	Forward	A hybrid code representation learning approach for predicting method names	a hybrid code representation learning approach for predicting method names	https://www.sciencedirect.com/science/article/pii/S0164121221001084	2021	Ok	Not Acceptable	Not acceptable	Not acceptable
1	program indentation and comprehensibility	Forward	A language independent framework for context-sensitive formatting	a language independent framework for contextsensitive formatting	https://ieeexplore.ieee.org/abstract/document/1602362/	2006	Ok	Not acceptable	Not acceptable	Not acceptable
1	program indentation and comprehensibility	Forward	A language‐independent prettyprinter	a languageindependent prettyprinter	https://onlinelibrary.wiley.com/doi/abs/10.1002/spe.4380190904	1989	Old	Not acceptable	Not acceptable	Not acceptable
1	impacts of coding practices on readability	Forward	A large-scale comparative analysis of coding standard conformance in open-source data science projects	a largescale comparative analysis of coding standard conformance in opensource data science projects	https://dl.acm.org/doi/abs/10.1145/3382494.3410680	2020	Ok	Not Acceptable	Not acceptable	Not acceptable
1	the impact of identifier style on effort and comprehension	Forward	A lightweight API recommendation method for App development based on multi-objective evolutionary algorithm	a lightweight api recommendation method for app development based on multiobjective evolutionary algorithm	https://www.sciencedirect.com/science/article/pii/S0167642323000096	2023	Ok	Not acceptable	Not acceptable	Not acceptable
1	an eye tracking study on camelcase and underscore identifier styles	Forward	A local Threshold Segmentation method based on multi-direction grayscale wave	a local threshold segmentation method based on multidirection grayscale wave	https://ieeexplore.ieee.org/abstract/document/5575589/	2010	Ok	Not acceptable	Not acceptable	Not acceptable
1	program indentation and comprehensibility	Forward	A Look at Programmers Communicating through Program Indentation	a look at programmers communicating through program indentation	https://www.jstor.org/stable/24536226	2002	Ok	Acceptable	Acceptable	Acceptable
1	program indentation and comprehensibility	Forward	A Look at Programmers Communicating through Program Indentation	a look at programmers communicating through program indentation	https://www.jstor.org/stable/24531421	1998	Duplicate	Not acceptable	Not acceptable	Not acceptable
1	measuring neural efficiency of program comprehension	Forward	A look into programmers' heads	a look into programmers heads	https://ieeexplore.ieee.org/abstract/document/8425769/	2018	Ok	Not Acceptable	Not acceptable	Not acceptable
1	measuring neural efficiency of program comprehension	Forward	A Look into Programmers' Heads	a look into programmers heads	http://www.cs.cmu.edu/~./ckaestne/pdf/tse18_fmri.pdf	2018	Duplicate	Not acceptable	Not acceptable	Not acceptable
1	an eye tracking study on camelcase and underscore identifier styles	Forward	A Markdown Interpreter for TEX	a markdown interpreter for tex	https://mirror.lyrahosting.com/CTAN/macros/generic/markdown/markdown.pdf	2023	Ok	Not acceptable	Not acceptable	Not acceptable
1	an experimental investigation of the effect of program structure on program understanding	Forward	A measure of logical complexity of programs	a measure of logical complexity of programs	https://www.sciencedirect.com/science/article/pii/0096055182900030	1982	Old	Not acceptable	Not acceptable	Not acceptable
1	an experimental investigation of the effect of program structure on program understanding	Forward	A measure of mental effort related to program clarity.	a measure of mental effort related to program clarity	https://search.proquest.com/openview/ae60b395587f4fc7bbc5a0e306b5c055/1?pq-origsite=gscholar&cbl=18750&diss=y	1977	Old	Not acceptable	Not acceptable	Not acceptable
1	impacts of coding practices on readability	Backward	A method for measuring the" vocabulary burden" of textbooks	a method for measuring the vocabulary burden of textbooks	http://scholar.google.com/scholar?hl=en&q=Bertha+A..+Lively+and+Sydney+Leavitt+Pressey.+1923.+A+method+for+measuring+the%22+vocabulary+burden%22+of+textbooks.	1923	Old	Not acceptable	Not acceptable	Not acceptable
1	an eye tracking study on camelcase and underscore identifier styles	Backward	A Method to Study Visual Attention Aspects of Collaboration: Eye-tracking Pair Programmers Simultaneously	a method to study visual attention aspects of collaboration eyetracking pair programmers simultaneously	https://scholar.google.com/scholar?as_q=A+Method+to+Study+Visual+Attention+Aspects+of+Collaboration%3A+Eye-tracking+Pair+Programmers+Simultaneously&as_occt=title&hl=en&as_sdt=0%2C31	2008	Ok	Not acceptable	Not acceptable	Not acceptable
1	the impact of identifier style on effort and comprehension	Backward	A method to study visual attention aspects of collaboration: eye-tracking pair programmers simultaneously	a method to study visual attention aspects of collaboration eyetracking pair programmers simultaneously	https://dl.acm.org/doi/abs/10.1145/1344471.1344480	2008	Duplicate	Not acceptable	Not acceptable	Not acceptable
1	indentation simply a matter of style or support for program comprehension	Backward	A methodology for measuring the readability and modifiability of computer programs	a methodology for measuring the readability and modifiability of computer programs	https://doi.org/10.1007/BF01933633	1980	Old	Not acceptable	Not acceptable	Not acceptable
1	an experimental investigation of the effect of program structure on program understanding	Backward	A methodology for studying the psychological complexity of computer programs	a methodology for studying the psychological complexity of computer programs	https://dl.acm.org//doi/10.5555/908046	1974	Old	Not acceptable	Not acceptable	Not acceptable
1	program indentation and comprehensibility	Backward	A methodology for studying the psychological complexity of computer programs	a methodology for studying the psychological complexity of computer programs	https://dl.acm.org//doi/10.5555/908046	1974	Duplicate	Not acceptable	Not acceptable	Not acceptable
1	an investigation of misunderstanding code patterns in c opensource software projects	Backward	A metric for software readability	a metric for software readability	https://dl.acm.org/doi/abs/10.1145/1390630.1390647	2008	Duplicate	Not acceptable	Not acceptable	Not acceptable
1	indentation simply a matter of style or support for program comprehension	Backward	A metric for software readability	a metric for software readability	https://doi.org/10.1145/1390630.1390647	2008	Ok	Acceptable	Not acceptable	Not acceptable
1	software readability practices and the importance of their teaching	Backward	A metric for software readability	a metric for software readability	https://scholar.google.com/scholar?as_q=A+metric+for+software+readability&as_occt=title&hl=en&as_sdt=0%2C31	2008	Duplicate	Not acceptable	Not acceptable	Not acceptable
1	program indentation and comprehensibility	Forward	A metric for software readability	a metric for software readability	https://dl.acm.org/doi/abs/10.1145/1390630.1390647	2008	Duplicate	Not acceptable	Not acceptable	Not acceptable
1	understanding misunderstandings in source code	Backward	A metric for software readability.	a metric for software readability	https://dl.acm.org/doi/10.1145/1390630.1390647	2008	Duplicate	Not acceptable	Not acceptable	Not acceptable
1	typographic style is more than cosmetic	Forward	A multi-level code comprehension model for large-scale software	a multilevel code comprehension model for largescale software	https://search.proquest.com/openview/b62a194bbdfc46cee82cf89db224a891/1?pq-origsite=gscholar&cbl=18750&diss=y	1996	Ok	Not Acceptable	Not Acceptable	Not Acceptable
1	the impact of identifier style on effort and comprehension	Forward	A neural model for method name generation from functional description	a neural model for method name generation from functional description	https://ieeexplore.ieee.org/abstract/document/8667994/	2019	Ok	Acceptable	Not acceptable	Not acceptable
1	an eye tracking study on camelcase and underscore identifier styles	Forward	A neuro-cognitive perspective of program comprehension	a neurocognitive perspective of program comprehension	https://dl.acm.org/doi/abs/10.1145/3183440.3183442	2018	Duplicate	Not acceptable	Not acceptable	Not acceptable
1	an eye tracking study on camelcase and underscore identifier styles	Forward	A Neuro-Cognitive Perspective of Program Comprehension	a neurocognitive perspective of program comprehension	https://dl.acm.org/doi/abs/10.1145/3183440.3183442	2022	Duplicate	Not acceptable	Not acceptable	Not acceptable
1	indentation simply a matter of style or support for program comprehension	Forward	A neuro-cognitive perspective of program comprehension	a neurocognitive perspective of program comprehension	https://dl.acm.org/doi/abs/10.1145/3183440.3183442	2018	Ok	Not Acceptable	Not acceptable	Not acceptable
1	indentation simply a matter of style or support for program comprehension	Forward	A Neuro-Cognitive Perspective of Program Comprehension	a neurocognitive perspective of program comprehension	https://dl.acm.org/doi/abs/10.1145/3183440.3183442	2022	Duplicate	Not acceptable	Not acceptable	Not acceptable
1	measuring neural efficiency of program comprehension	Forward	A neuro-cognitive perspective of program comprehension	a neurocognitive perspective of program comprehension	https://dl.acm.org/doi/abs/10.1145/3183440.3183442	2018	Duplicate	Not acceptable	Not acceptable	Not acceptable
1	measuring neural efficiency of program comprehension	Forward	A Neuro-Cognitive Perspective of Program Comprehension	a neurocognitive perspective of program comprehension	https://dl.acm.org/doi/abs/10.1145/3183440.3183442	2022	Duplicate	Not acceptable	Not acceptable	Not acceptable
1	program indentation and comprehensibility	Forward	A neuro-cognitive perspective of program comprehension	a neurocognitive perspective of program comprehension	https://dl.acm.org/doi/abs/10.1145/3183440.3183442	2018	Duplicate	Not acceptable	Not acceptable	Not acceptable
1	program indentation and comprehensibility	Forward	A Neuro-Cognitive Perspective of Program Comprehension	a neurocognitive perspective of program comprehension	https://dl.acm.org/doi/abs/10.1145/3183440.3183442	2022	Duplicate	Not acceptable	Not acceptable	Not acceptable
1	the impact of identifier style on effort and comprehension	Forward	A neuro-cognitive perspective of program comprehension	a neurocognitive perspective of program comprehension	https://dl.acm.org/doi/abs/10.1145/3183440.3183442	2018	Duplicate	Not acceptable	Not acceptable	Not acceptable
1	the impact of identifier style on effort and comprehension	Forward	A Neuro-Cognitive Perspective of Program Comprehension	a neurocognitive perspective of program comprehension	https://dl.acm.org/doi/abs/10.1145/3183440.3183442	2022	Duplicate	Not acceptable	Not acceptable	Not acceptable
1	understanding misunderstandings in source code	Forward	A neuro-cognitive perspective of program comprehension	a neurocognitive perspective of program comprehension	https://dl.acm.org/doi/abs/10.1145/3183440.3183442	2018	Duplicate	Not acceptable	Not acceptable	Not acceptable
1	understanding misunderstandings in source code	Forward	A Neuro-Cognitive Perspective of Program Comprehension	a neurocognitive perspective of program comprehension	https://dl.acm.org/doi/abs/10.1145/3183440.3183442	2022	Duplicate	Not acceptable	Not acceptable	Not acceptable
1	an eye tracking study on camelcase and underscore identifier styles	Forward	A new high-performance, energy-efficient replication storage system with reliability guarantee	a new highperformance energyefficient replication storage system with reliability guarantee	https://ieeexplore.ieee.org/abstract/document/6232373/	2012	Ok	Not acceptable	Not acceptable	Not acceptable
1	understanding misunderstandings in source code	Backward	A new measure of software complexity based on cognitive weights.	a new measure of software complexity based on cognitive weights	https://ieeexplore.ieee.org/abstract/document/1532511?casa_token=sIX8pC9WTCQAAAAA:q-8EcP3zR4M0hdHiCb0Ifdc5NqVQN7CUSfMq6CiUe2Cg1bqaGHaKvV4JkZ6POPk1Lo_zDDlGJw	2003	Ok	Acceptable	Not acceptable	Not acceptable
1	software readability practices and the importance of their teaching	Backward	A new metric for code readability	a new metric for code readability	https://scholar.google.com/scholar?as_q=A+new+metric+for+code+readability&as_occt=title&hl=en&as_sdt=0%2C31	2012	Ok	Acceptable	Not acceptable	Not acceptable
1	measuring neural efficiency of program comprehension	Forward	A new pedagogy to address the unacknowledged failure of American secondary CS education	a new pedagogy to address the unacknowledged failure of american secondary cs education	https://dl.acm.org/doi/pdf/10.1145/3381026	2020	Ok	Not acceptable	Not acceptable	Not acceptable
1	impacts of coding practices on readability	Backward	A new readability yardstick	a new readability yardstick	http://scholar.google.com/scholar?hl=en&q=Rudolph+Flesch.+1948.+A+new+readability+yardstick.+Journal+of+applied+psychology+32%2C+3+%281948%29%2C+221.	1948	Old	Not acceptable	Not acceptable	Not acceptable
1	program indentation and comprehensibility	Forward	A paradigm for programming style research	a paradigm for programming style research	https://dl.acm.org/doi/abs/10.1145/57669.57675	1988	Old	Not acceptable	Not acceptable	Not acceptable
1	program indentation and comprehensibility	Forward	A Personalized Code Formatter: Detection and Fixing	a personalized code formatter detection and fixing	https://link.springer.com/chapter/10.1007/978-3-031-11513-4_8	2022	Ok	Not Acceptable	Not acceptable	Not acceptable
1	understanding misunderstandings in source code	Forward	A PORT in Stormy SEAs: Leveraging Past Problems to Prevent Future Failures	a port in stormy seas leveraging past problems to prevent future failures	https://search.proquest.com/openview/51eda235093380b3ade2cdedc04b5001/1?pq-origsite=gscholar&cbl=18750&diss=y	2022	Ok	Not acceptable	Not acceptable	Not acceptable
1	an eye tracking study on camelcase and underscore identifier styles	Forward	A practical guide on conducting eye tracking studies in software engineering	a practical guide on conducting eye tracking studies in software engineering	https://link.springer.com/article/10.1007/s10664-020-09829-4	2020	Ok	Not Acceptable	Not acceptable	Not acceptable
1	the impact of identifier style on effort and comprehension	Forward	A practical guide on conducting eye tracking studies in software engineering	a practical guide on conducting eye tracking studies in software engineering	https://link.springer.com/article/10.1007/s10664-020-09829-4	2020	Duplicate	Not acceptable	Not acceptable	Not acceptable
1	an experimental investigation of the effect of program structure on program understanding	Forward	A preliminary investigation of the use of the cloze procedure as a measure of program understanding	a preliminary investigation of the use of the cloze procedure as a measure of program understanding	https://www.sciencedirect.com/science/article/pii/0306457384900505	1984	Old	Not acceptable	Not acceptable	Not acceptable
1	typographic style is more than cosmetic	Forward	A presentation-oriented editor for structured documents	a presentationoriented editor for structured documents	https://citeseerx.ist.psu.edu/document?repid=rep1&type=pdf&doi=752f48feab03c24f8b615308a94007dc29588c91		Ok	Not acceptable	Not acceptable	Not acceptable
1	typographic style is more than cosmetic	Forward	A presentation-oriented editor for structured documents Proxima	a presentationoriented editor for structured documents proxima	https://citeseerx.ist.psu.edu/document?repid=rep1&type=pdf&doi=752f48feab03c24f8b615308a94007dc29588c91		Duplicate	Not acceptable	Not acceptable	Not acceptable
1	program indentation and comprehensibility	Forward	A pretty good formatting pipeline	a pretty good formatting pipeline	https://link.springer.com/chapter/10.1007/978-3-319-02654-1_10	2013	Ok	Acceptable	Not acceptable	Not acceptable
1	program indentation and comprehensibility	Backward	A Primer on Structured Program Design	a primer on structured program design	https://dl.acm.org//doi/10.5555/578375	1980	Old	Not acceptable	Not acceptable	Not acceptable
1	program indentation and comprehensibility	Forward	A principled taxonomy of software visualization	a principled taxonomy of software visualization	https://www.sciencedirect.com/science/article/pii/S1045926X83710153	1993	Ok	Not acceptable	Not acceptable	Not acceptable
1	enhancing program comprehension formatting and documenting	Forward	A productivity metric based on statistical pattern recognition	a productivity metric based on statistical pattern recognition	https://ieeexplore.ieee.org/abstract/document/1509997/	2005	Ok	Not acceptable	Not acceptable	Not acceptable
1	program indentation and comprehensibility	Forward	A program development system for the casual programmer	a program development system for the casual programmer	https://dl.acm.org/doi/abs/10.1145/16687.16707	1985	Old	Not acceptable	Not acceptable	Not acceptable
1	typographic style is more than cosmetic	Forward	A programming style taxonomy	a programming style taxonomy	https://www.sciencedirect.com/science/article/pii/0164121291900447	1991	Ok	Maybe	Not acceptable	Not acceptable
1	program indentation and comprehensibility	Forward	A programming system for children that is designed for usability	a programming system for children that is designed for usability	https://search.proquest.com/openview/b7b9560303cdeb295b398f64e72d0069/1?pq-origsite=gscholar&cbl=18750&diss=y	2002	Ok	Not acceptable	Not acceptable	Not acceptable
1	enhancing program comprehension formatting and documenting	Backward	A Prototype Intelligent Prettyprinter for Pascal	a prototype intelligent prettyprinter for pascal	https://dl.acm.org//doi/10.1145/68127.68135	1989	Old	Not acceptable	Not acceptable	Not acceptable
1	typographic style is more than cosmetic	Forward	A prototype intelligent prettyprinter for Pascal	a prototype intelligent prettyprinter for pascal	https://dl.acm.org/doi/pdf/10.1145/68127.68135	1989	Duplicate	Not acceptable	Not acceptable	Not acceptable
1	an investigation of misunderstanding code patterns in c opensource software projects	Backward	A quantitative analysis of aspects in the eCos kernel	a quantitative analysis of aspects in the ecos kernel	https://dl.acm.org/doi/abs/10.1145/1218063.1217954	2006	Ok	Not acceptable	Not acceptable	Not acceptable
1	measuring neural efficiency of program comprehension	Forward	A randomized controlled trial on the effects of embedded computer language switching	a randomized controlled trial on the effects of embedded computer language switching	https://dl.acm.org/doi/abs/10.1145/3368089.3409701	2020	Ok	Acceptable	Not acceptable	Not acceptable
1	measuring neural efficiency of program comprehension	Forward	A randomized controlled trial on the impact of polyglot programming in a database context	a randomized controlled trial on the impact of polyglot programming in a database context	https://par.nsf.gov/biblio/10127887	2019	Ok	Not acceptable	Not acceptable	Not acceptable
1	atoms of confusion in java	Forward	A Relaçao entre a Experiência de Engenheiros de Software e a Compreensao e Refatoraçao deAtomos de Confusao	a relaao entre a experincia de engenheiros de software e a compreensao e refatoraao deatomos de confusao	http://bib.pucminas.br:8080/pergamumweb/vinculos/000013/00001341.pdf	2002	Ok	Not acceptable	Not acceptable	Not acceptable
1	understanding misunderstandings in source code	Forward	A Relaçao entre a Experiência de Engenheiros de Software e a Compreensao e Refatoraçao deAtomos de Confusao	a relaao entre a experincia de engenheiros de software e a compreensao e refatoraao deatomos de confusao	http://bib.pucminas.br:8080/pergamumweb/vinculos/000013/00001341.pdf	2002	Duplicate	Not acceptable	Not acceptable	Not acceptable
1	an experimental investigation of the effect of program structure on program understanding	Forward	A review and evaluation of software science	a review and evaluation of software science	https://dl.acm.org/doi/pdf/10.1145/356715.356717	1978	Old	Not acceptable	Not acceptable	Not acceptable
1	enhancing program comprehension formatting and documenting	Backward	A Schema-Base Model of Program Understanting	a schemabase model of program understanting	http://scholar.google.com/scholar?hl=en&q=%5B5%5D.+Detienne%2C+F.%2C+%22A+Schema-Base+Model+of+Program+Understanting%22%2C+in+Mental+Models+and+Human-Computer+Interaction+2%2C+M.J.+Tauber+and+D.+Ackermann%2C+Elsevier+Science+Pulisher%2C+B.V+%28North-Holland%29%2C+1991.	1991	Ok	Not acceptable	Not acceptable	Not acceptable
1	impacts of coding practices on readability	Backward	A simpler model of software readability	a simpler model of software readability	https://dl.acm.org//doi/10.1145/1985441.1985454	2011	Ok	Acceptable	Not acceptable	Not acceptable
1	indentation simply a matter of style or support for program comprehension	Backward	A simpler model of software readability	a simpler model of software readability	https://doi.org/10.1145/1985441.1985454	2011	Duplicate	Not acceptable	Not acceptable	Not acceptable
1	an experimental investigation of the effect of program structure on program understanding	Forward	A Software Classification Scheme (Reusability, Libraries, Development)	a software classification scheme reusability libraries development	https://search.proquest.com/openview/a1281bc45b0a5f8896fc49f24b984254/1?pq-origsite=gscholar&cbl=18750&diss=y	1985	Old	Not acceptable	Not acceptable	Not acceptable
1	program indentation and comprehensibility	Forward	A Software Classification Scheme (Reusability, Libraries, Development)	a software classification scheme reusability libraries development	https://search.proquest.com/openview/a1281bc45b0a5f8896fc49f24b984254/1?pq-origsite=gscholar&cbl=18750&diss=y	1985	Duplicate	Not acceptable	Not acceptable	Not acceptable
1	program indentation and comprehensibility	Forward	A study in dimensions of psychological complexity of programs	a study in dimensions of psychological complexity of programs	https://www.sciencedirect.com/science/article/pii/S0020737385800286	1985	Old	Not acceptable	Not acceptable	Not acceptable
1	program indentation and comprehensibility	Forward	A study of dependence of software attributes using data analysis techniques	a study of dependence of software attributes using data analysis techniques	https://citeseerx.ist.psu.edu/document?repid=rep1&type=pdf&doi=5480e8823e49977315ebdcd71d7637380f15b903	2002	Ok	Not acceptable	Not acceptable	Not acceptable
1	typographic style is more than cosmetic	Forward	A study of dependence of software attributes using data analysis techniques	a study of dependence of software attributes using data analysis techniques	https://citeseerx.ist.psu.edu/document?repid=rep1&type=pdf&doi=5480e8823e49977315ebdcd71d7637380f15b903	2002	Duplicate	Not acceptable	Not acceptable	Not acceptable
1	program indentation and comprehensibility	Forward	A study of the conceptual symbolics of information system development languages	a study of the conceptual symbolics of information system development languages	https://search.proquest.com/openview/5b2f94c371273fd67ac1c60af306bce1/1?pq-origsite=gscholar&cbl=18750&diss=y	1994	Ok	Not acceptable	Not acceptable	Not acceptable
1	the impact of identifier style on effort and comprehension	Forward	A study of “wheat” and “chaff” in source code	a study of wheat and chaff in source code	https://dong-qiu.github.io/papers/pdfs/corr-15-code-essence.pdf	2015	Ok	Not acceptable	Not acceptable	Not acceptable
1	the impact of identifier style on effort and comprehension	Backward	A survey of controlled experiments in software engineering	a survey of controlled experiments in software engineering	https://ieeexplore.ieee.org/abstract/document/1514443/?	1993	Ok	Not acceptable	Not acceptable	Not acceptable
1	an eye tracking study on camelcase and underscore identifier styles	Forward	A survey on the usage of eye-tracking in computer programming	a survey on the usage of eyetracking in computer programming	https://dl.acm.org/doi/abs/10.1145/3145904	2018	Ok	Acceptable	Not acceptable	Not acceptable
1	measuring neural efficiency of program comprehension	Forward	A systematic literature review of studies related to mental activities of software developers	a systematic literature review of studies related to mental activities of software developers	https://ieeexplore.ieee.org/abstract/document/9290239/	2020	Ok	Not acceptable	Not acceptable	Not acceptable
1	an experimental investigation of the effect of program structure on program understanding	Forward	A Systematic Literature Review on the Impact of Formatting Elements on Program Understandability	a systematic literature review on the impact of formatting elements on program understandability	https://arxiv.org/abs/2208.12141	2022	Ok	Not acceptable	Not acceptable	Not acceptable
1	an investigation of misunderstanding code patterns in c opensource software projects	Forward	A Systematic Literature Review on the Impact of Formatting Elements on Program Understandability	a systematic literature review on the impact of formatting elements on program understandability	https://arxiv.org/abs/2208.12141	2022	Duplicate	Not acceptable	Not acceptable	Not acceptable
