Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Publication Stage,Access Type,Source,EID
"Wilde, N., Scully, M.C.",7004450963;7202047694;,Software reconnaissance: Mapping program features to code,1995,Journal of Software Maintenance: Research and Practice,7,1,,49,62,,274,10.1002/smr.4360070105,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0029219159&doi=10.1002%2fsmr.4360070105&partnerID=40&md5=ff516d0ba3ec6a92965f631e2f38c649,Article,Final,,Scopus,2-s2.0-0029219159
"Hatori, K., Nagata, M.",57190902778;55184321500;,A support system for understanding list processing programs which generates explanations and input‐output examples,1995,Systems and Computers in Japan,26,2,,22,35,,,10.1002/scj.4690260203,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84983984176&doi=10.1002%2fscj.4690260203&partnerID=40&md5=bd2e0b2d54ec5a577b4667306e1d29d4,Article,Final,,Scopus,2-s2.0-84983984176
"Ball, Thomas, Eick, Stephen G.",7102130944;7006390303;,Visualizing program slices,1994,"IEEE Symposium on Visual Languages, Proceedings",,,,288,295,,31,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0028714269&partnerID=40&md5=248cc9648121a1f180514125ddbb283b,Conference Paper,Final,,Scopus,2-s2.0-0028714269
"Chen, X.P., Tsai, W.T., Joiner, J.K., Gandamaneni, H., Sun, J.",15031986800;7402907369;7003947328;6504816624;8642862000;,Automatic variable classification for COBOL programs,1994,Proceedings - IEEE Computer Society's International Computer Software &amp; Applications Conference,,,,432,437,,20,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0028698571&partnerID=40&md5=6f90dc090acf0392b8d4ecfaac6ca206,Conference Paper,Final,,Scopus,2-s2.0-0028698571
"Cohen, William W.",7202924370;,Recovering software specifications with inductive logic programming,1994,Proceedings of the National Conference on Artificial Intelligence,1,,,142,148,,12,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0028566767&partnerID=40&md5=0dad17ec3431b990ad61e388d3973e37,Conference Paper,Final,,Scopus,2-s2.0-0028566767
"Kozaczynski, W., Ning, J.Q.",55996050300;7102914803;,Automated program understanding by concept recognition,1994,Automated Software Engineering,1,1,,61,78,,23,10.1007/BF00871692,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0028385189&doi=10.1007%2fBF00871692&partnerID=40&md5=a8083dff634cb9c44fe7788686ebc5b5,Article,Final,,Scopus,2-s2.0-0028385189
"Ning, J.Q., Engberts, A., Kozaczynski, W.V.",7102914803;6507396000;55996050300;,Automated Support for Legacy Code Understanding,1994,Communications of the ACM,37,5,,50,57,,63,10.1145/175290.175295,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84976824797&doi=10.1145%2f175290.175295&partnerID=40&md5=c7e2e1c144d274d6d99ad723323d03eb,Article,Final,,Scopus,2-s2.0-84976824797
"Biggerstaff, T.J., Mitbander, B.G., Webster, D.E.",6701394745;6503884488;7201998212;,Program Understanding and the Concept Assignment Problem,1994,Communications of the ACM,37,5,,72,82,,206,10.1145/175290.175300,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84903520119&doi=10.1145%2f175290.175300&partnerID=40&md5=a36e1fa992b88c28167a062972ae7643,Article,Final,,Scopus,2-s2.0-84903520119
"Teasley, B.E.",6602903382;,The effects of naming style and expertise on program comprehension,1994,International Journal of Human - Computer Studies,40,5,,757,770,,11,10.1006/ijhc.1994.1036,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0028424050&doi=10.1006%2fijhc.1994.1036&partnerID=40&md5=5f7c053ad81a894ec2a36ec3a920734b,Article,Final,,Scopus,2-s2.0-0028424050
"Joiner, J.K., Tsai, W.T., Chen, X.P., Subramanian, S., Sun, J., Gandamaneni, H.",7003947328;24426357200;15031986800;7202867436;57207965336;6504816624;,Data-centered program understanding,1994,"Proceedings - 1994 International Conference on Software Maintenance, ICSM 1994",,,336767,272,281,,23,10.1109/ICSM.1994.336767,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84987247056&doi=10.1109%2fICSM.1994.336767&partnerID=40&md5=f14b81bb8e1f1d2caf91e8c97f63bbb2,Conference Paper,Final,,Scopus,2-s2.0-84987247056
"Buss, E., De Mori, R., Gentleman, W.M., Henshaw, J., Johnson, H., Kontogiannis, K., Merlo, E., Muller, H.A., Mylopoulos, J., Paul, S., Prakash, A., Stanley, M., Tilley, S.R., Troster, J., Wong, K.",7005052013;35547954100;6701698839;36866722500;57206173960;6603947582;57204299654;7404943303;7005652259;56303050600;7202316627;7202498729;7006059543;6603300193;13310164400;,Investigating reverse engineering technologies for the CAS program understanding project,1994,IBM Systems Journal,33,3,,477,500,,26,10.1147/sj.333.0477,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0028553109&doi=10.1147%2fsj.333.0477&partnerID=40&md5=1809968dd898f85720466b5f6ecb1e10,Article,Final,,Scopus,2-s2.0-0028553109
"Mancoridis, Spiros, Holt, Richard C., Godfrey, Michael W.",6701802132;7402085369;57190069997;,Program understanding environment based on the 'star' approach to tool integration,1994,Proceedings - ACM Computer Science Conference,,,,60,65,,1,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0028098585&partnerID=40&md5=c2b9d2f5f9df2f872b569229758b2ef9,Conference Paper,Final,,Scopus,2-s2.0-0028098585
"Hirota, T., Tohki, M., Overstreet, C.M., Hashimoto, M., Cherinka, R.",7203065974;57207912974;7004504181;55994409600;6506972648;,An approach to predict software maintenance cost based on ripple complexity,1994,"Proceedings - Asia-Pacific Software Engineering Conference, APSEC",,,465236,439,444,,3,10.1109/APSEC.1994.465236,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84993992553&doi=10.1109%2fAPSEC.1994.465236&partnerID=40&md5=23e2c4086eb1198a566bc9337020a590,Conference Paper,Final,,Scopus,2-s2.0-84993992553
"Paul, S., Prakash, A.",56303050600;7202316627;,Querying source code using an algebraic query language,1994,"Proceedings - 1994 International Conference on Software Maintenance, ICSM 1994",,,336782,127,136,,13,10.1109/ICSM.1994.336782,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84987235093&doi=10.1109%2fICSM.1994.336782&partnerID=40&md5=a38fa7cca70e2ba92db9c57632bd45b0,Conference Paper,Final,,Scopus,2-s2.0-84987235093
"Johnson, J.H.",57207965077;,Substring matching for clone detection and change tracking,1994,"Proceedings - 1994 International Conference on Software Maintenance, ICSM 1994",,,336783,120,126,,82,10.1109/ICSM.1994.336783,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84962184978&doi=10.1109%2fICSM.1994.336783&partnerID=40&md5=d77f54add9eed0b75a3ddf8b551f911f,Conference Paper,Final,,Scopus,2-s2.0-84962184978
"Tilley, S.R.",7006059543;,Domain-retargetable reverse engineering II: Personalized user interfaces,1994,"Proceedings - 1994 International Conference on Software Maintenance, ICSM 1994",,,336761,336,342,,9,10.1109/ICSM.1994.336761,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84923887933&doi=10.1109%2fICSM.1994.336761&partnerID=40&md5=c232451202854ae584177280f877078a,Conference Paper,Final,,Scopus,2-s2.0-84923887933
"Queille, J.-P., Voidrot, J.-F., Wilde, N., Munro, M.",6602278726;6504723709;7004450963;7102691854;,The impact analysis task in software maintenance: A model and a case study,1994,"Proceedings - 1994 International Conference on Software Maintenance, ICSM 1994",,,336771,234,242,,38,10.1109/ICSM.1994.336771,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84859127625&doi=10.1109%2fICSM.1994.336771&partnerID=40&md5=0b1cc3856b20393b9f00843e29398f82,Conference Paper,Final,,Scopus,2-s2.0-84859127625
"Jarzabek, S., Shen, H., Chan, H.C.",7004229564;57207909396;57194895620;,A hybrid program knowledge base for static program analyzers,1994,"Proceedings - Asia-Pacific Software Engineering Conference, APSEC",,,465240,400,409,,4,10.1109/APSEC.1994.465240,https://www.scopus.com/inward/record.uri?eid=2-s2.0-33747352837&doi=10.1109%2fAPSEC.1994.465240&partnerID=40&md5=55d2a51d604da8f9b3063e2d0b0d2ebb,Conference Paper,Final,,Scopus,2-s2.0-33747352837
"Ogando, R.M., Yau, S.S., Liu, S.S., Wilde, N.",6507163957;57200170932;57206980829;7004450963;,An object finder for program structure understanding in software maintenance,1994,Journal of Software Maintenance: Research and Practice,6,5,,261,283,,23,10.1002/smr.4360060504,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0028515677&doi=10.1002%2fsmr.4360060504&partnerID=40&md5=d0ef206586c206641395c97c6857519e,Article,Final,,Scopus,2-s2.0-0028515677
"Paul, S., Prakash, A.",56303050600;7202316627;,A Framework for Source Code Search Using Program Patterns,1994,IEEE Transactions on Software Engineering,20,6,,463,475,,97,10.1109/32.295894,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0028446627&doi=10.1109%2f32.295894&partnerID=40&md5=52b67cc796f89deeee34266fd3f09db6,Article,Final,,Scopus,2-s2.0-0028446627
"Linos, P.K., Aubet, P., Dumas, L., Helleboid, Y., Lejeune, P., Tulula, P.",55906820300;6507314197;7005415479;6508254739;7005736866;6506679042;,Visualizing program dependencies: An experimental study,1994,Software: Practice and Experience,24,4,,387,403,,12,10.1002/spe.4380240405,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0028419067&doi=10.1002%2fspe.4380240405&partnerID=40&md5=d1535d09bcce08d289517d18ce7a5d3d,Article,Final,,Scopus,2-s2.0-0028419067
"Ueno, Haruki",7401546238;,Integrated intelligent programming environment for learning programming,1994,IEICE Transactions on Information and Systems,E77-D,1,,68,79,,6,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0028271314&partnerID=40&md5=4e2785956e25d3d05efa132744e7e097,Article,Final,,Scopus,2-s2.0-0028271314
"Tan, E.-S., Dietz, H.G.",57207960915;56905205000;,Abstracting plan-like program information: A demonstration,1994,"Proceedings - 1994 International Conference on Software Maintenance, ICSM 1994",,,336768,262,271,,5,10.1109/ICSM.1994.336768,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0004831823&doi=10.1109%2fICSM.1994.336768&partnerID=40&md5=484c5e985f52c1458e431a1d78d4ff5a,Conference Paper,Final,,Scopus,2-s2.0-0004831823
"Kinloch, D.A., Munro, M.",57207959651;7102691854;,Understanding C programs using the Combined C graph representation,1994,"Proceedings - 1994 International Conference on Software Maintenance, ICSM 1994",,,336777,172,180,,8,10.1109/ICSM.1994.336777,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84914134693&doi=10.1109%2fICSM.1994.336777&partnerID=40&md5=2adf2b5881d5e222c3446dcdd12f1fca,Conference Paper,Final,,Scopus,2-s2.0-84914134693
"Tilley, Scott R., Muller, Hausi A., Whitney, Michael J., Wong, Kenny",7006059543;7404943303;7005424771;13310164400;,Domain-retargetable reverse engineering,1993,Conference on Software Maintenance,,,,142,151,,13,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0027849360&partnerID=40&md5=7369ff8460f5224f2c6137ec5759f8eb,Conference Paper,Final,,Scopus,2-s2.0-0027849360
"Cherinka, R., Overstreet, C.M., Sparks, R.",6506972648;7004504181;7202344491;,Building an integrated software maintenance environment - from a maintainer's perspective,1993,Conference on Software Maintenance,,,,31,40,,1,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0027810623&partnerID=40&md5=4dff759df3084503e12689493f67e6fe,Conference Paper,Final,,Scopus,2-s2.0-0027810623
"Fix, Vikki, Wiedenbeck, Susan, Scholtz, Jean",6507825208;6603958036;57204256972;,Mental representations of programs by novices and experts,1993,Conference on Human Factors in Computing Systems - Proceedings,,,,74,79,,36,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0027887125&partnerID=40&md5=4e97b7549c240e7fe491e0edd25db003,Conference Paper,Final,,Scopus,2-s2.0-0027887125
"Masticola, S.P., Ryder, B.G.",6508170024;7003693065;,Non-concurrency analysis,1993,"Proceedings of the ACM SIGPLAN Symposium on Principles and Practice of Parallel Programming, PPOPP",Part F129677,,,129,138,,57,10.1145/155332.155346,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0027869967&doi=10.1145%2f155332.155346&partnerID=40&md5=013881032669a864ce63492a6e376991,Conference Paper,Final,,Scopus,2-s2.0-0027869967
"Von Mayrhauser, A., Vans, A.M.",7004450574;6602242556;,From code comprehension model to tool capabilities,1993,Proceedings - ICCI 1993: 5th International Conference on Computing and Information,,,315327,469,473,,1,10.1109/ICCI.1993.315327,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85054313097&doi=10.1109%2fICCI.1993.315327&partnerID=40&md5=56d7d4e3fc7f0b27ee3c438e45ef42be,Conference Paper,Final,,Scopus,2-s2.0-85054313097
"Von Mayrhauser, A., Vans, A.M.",7004450574;6602242556;,From program comprehension to tool requirements for an industrial environment,1993,IEEE International Conference on Program Comprehension,,,263903,78,86,,43,10.1109/WPC.1993.263903,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85034520707&doi=10.1109%2fWPC.1993.263903&partnerID=40&md5=48a0a744f7d638c94d297e216ddeb796,Conference Paper,Final,,Scopus,2-s2.0-85034520707
"Layzell, P.J., Champion, R., Freeman, M.J.",7004257248;7005943079;7402429680;,DOCKET: Program comprehension-in-the-large,1993,IEEE International Conference on Program Comprehension,,,263897,140,148,,9,10.1109/WPC.1993.263897,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84987233601&doi=10.1109%2fWPC.1993.263897&partnerID=40&md5=78dce6abf0f528daeff994be4bc133bd,Conference Paper,Final,,Scopus,2-s2.0-84987233601
"Younger, E.J., Bennett, K.H.",57099297700;35610086500;,Model-based tools to record program understanding,1993,IEEE International Conference on Program Comprehension,,,263902,87,95,,6,10.1109/WPC.1993.263902,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0006454630&doi=10.1109%2fWPC.1993.263902&partnerID=40&md5=67815030be59ac541d9c2cbae964ab4e,Conference Paper,Final,,Scopus,2-s2.0-0006454630
"Hazan, J.E., Jarvis, S.A., Morgan, R.G., Garigliano, R.",57195564139;10144936000;55423297200;6603392400;,Understanding Lolita: Program comprehension in functional languages,1993,IEEE International Conference on Program Comprehension,,,263909,26,34,,,10.1109/WPC.1993.263909,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85063541708&doi=10.1109%2fWPC.1993.263909&partnerID=40&md5=fb50badef4ac3c27bd57366b0c007d8a,Conference Paper,Final,,Scopus,2-s2.0-85063541708
"Benedusi, P., Benvenuto, V., Tomacelli, L.",6602356535;6507116284;57207992009;,The role of testing and dynamic analysis in program comprehension supports,1993,IEEE International Conference on Program Comprehension,,,263896,149,158,,1,10.1109/WPC.1993.263896,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84949476551&doi=10.1109%2fWPC.1993.263896&partnerID=40&md5=94ea9902b5ddd7b8f2a689ca2b91b832,Conference Paper,Final,,Scopus,2-s2.0-84949476551
"Zuse, H.",22956312900;,Criteria for program comprehension derived from software complexity metrics,1993,IEEE International Conference on Program Comprehension,,,263911,8,16,,4,10.1109/WPC.1993.263911,https://www.scopus.com/inward/record.uri?eid=2-s2.0-1542588213&doi=10.1109%2fWPC.1993.263911&partnerID=40&md5=3dc6e45a1a53c0babe2099ad909df1c0,Conference Paper,Final,,Scopus,2-s2.0-1542588213
"Olshefski, D.P., Cole, A.",6506249541;7201573796;,A prototype system for static and dynamic program understanding,1993,"Proceedings - Working Conference on Reverse Engineering, WCRE",,,287775,93,106,,1,10.1109/WCRE.1993.287775,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85064432948&doi=10.1109%2fWCRE.1993.287775&partnerID=40&md5=ba71853ff363586eee2ba56de6d33f79,Conference Paper,Final,,Scopus,2-s2.0-85064432948
"Padula, A.",8302845300;,Use of a program understanding taxonomy at Hewlett-Packard,1993,IEEE International Conference on Program Comprehension,,,263905,66,70,,2,10.1109/WPC.1993.263905,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84946056389&doi=10.1109%2fWPC.1993.263905&partnerID=40&md5=749fd0dd81e61078377932817fb15207,Conference Paper,Final,,Scopus,2-s2.0-84946056389
"Livadas, P.E., Alden, S.D.",6602613979;57207980148;,A toolset for program understanding,1993,IEEE International Conference on Program Comprehension,,,263900,110,118,,4,10.1109/WPC.1993.263900,https://www.scopus.com/inward/record.uri?eid=2-s2.0-35848929566&doi=10.1109%2fWPC.1993.263900&partnerID=40&md5=a9f3c16ebf8605dd71b84429932acb05,Conference Paper,Final,,Scopus,2-s2.0-35848929566
"Bertels, K., Vanneste, P., De Backer, C.",6603628782;8843289300;23967849400;,A cognitive approach to program understanding,1993,"Proceedings - Working Conference on Reverse Engineering, WCRE",,,287784,1,7,,6,10.1109/WCRE.1993.287784,https://www.scopus.com/inward/record.uri?eid=2-s2.0-33747352555&doi=10.1109%2fWCRE.1993.287784&partnerID=40&md5=0062a98f1efd83f8a4e203ed59f5b37d,Conference Paper,Final,,Scopus,2-s2.0-33747352555
"Biggerstaff, Ted J., Mitbander, Bharat G., Webster, Dallas",6701394745;6503884488;7201998212;,Concept assignment problem in program understanding,1993,Proceedings - International Conference on Software Engineering,,,,482,498,,201,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0027306292&partnerID=40&md5=a2f736299401a848fc9fe33f0869c906,Conference Paper,Final,,Scopus,2-s2.0-0027306292
"Biggerstaff, T.J., Mitbander, B.G., Webster, D.",6701394745;6503884488;7201998212;,The concept assignment problem in program understanding,1993,"Proceedings - Working Conference on Reverse Engineering, WCRE",,,287781,27,43,,12,10.1109/WCRE.1993.287781,https://www.scopus.com/inward/record.uri?eid=2-s2.0-77952719449&doi=10.1109%2fWCRE.1993.287781&partnerID=40&md5=b61bd1aadd34149b10969b0a46c0a666,Conference Paper,Final,,Scopus,2-s2.0-77952719449
"Sugihara, K., Takeda, K., Inaba, M.",7202737939;56296259300;7202428766;,An approach to animation of software specifications,1993,"Proceedings - 1993 IEEE Symposium on Visual Languages, VL 1993",,,269560,374,375,,,10.1109/VL.1993.269560,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85063430627&doi=10.1109%2fVL.1993.269560&partnerID=40&md5=1b0ce0ff1ad8693ab315f69123046c59,Conference Paper,Final,,Scopus,2-s2.0-85063430627
"Müller, H.A., Orgun, M.A., Tilley, S.R., Uhl, J.S.",7404943303;6603681610;7006059543;7005143825;,A reverse‐engineering approach to subsystem structure identification,1993,Journal of Software Maintenance: Research and Practice,5,4,,181,204,,194,10.1002/smr.4360050402,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84987172526&doi=10.1002%2fsmr.4360050402&partnerID=40&md5=30e0edb28dadc94fceffdcc876f2b809,Article,Final,,Scopus,2-s2.0-84987172526
"Quilici, A.",6701798029;,A hybrid approach to recognizing programming plans,1993,"Proceedings - Working Conference on Reverse Engineering, WCRE",,,287772,126,133,,12,10.1109/WCRE.1993.287772,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84949891829&doi=10.1109%2fWCRE.1993.287772&partnerID=40&md5=9df7a9c67135936a8b9fd3c8160afb3b,Conference Paper,Final,,Scopus,2-s2.0-84949891829
"Quilici, A.",6701798029;,A hybrid approach to recognizing programming plans,1993,IEEE International Conference on Program Comprehension,,,263901,96,103,,2,10.1109/WPC.1993.263901,https://www.scopus.com/inward/record.uri?eid=2-s2.0-77952277728&doi=10.1109%2fWPC.1993.263901&partnerID=40&md5=24b384270bcb756193fb21a339a614a7,Conference Paper,Final,,Scopus,2-s2.0-77952277728
"Harrold, M.J., Malloy, B.",7005482239;7003918374;,A Unified Interprocedural Program Representation for a Maintenance Environment,1993,IEEE Transactions on Software Engineering,19,6,,584,593,,10,10.1109/32.232023,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0027612333&doi=10.1109%2f32.232023&partnerID=40&md5=8b340c5d0ae460bba8c761e2f61d347e,Article,Final,,Scopus,2-s2.0-0027612333
"Burnell, Lisa J., Talbot, Scott E.",6603615435;7102399006;,Incorporating probabilistic reasoning in a reactive program debugging system,1993,Proceedings of the Conference on Artificial Intelligence Applications,,,,321,327,,1,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0027271786&partnerID=40&md5=f778a1dcc645b670559b5c55e67fdd01,Conference Paper,Final,,Scopus,2-s2.0-0027271786
"Linos, P., Aubet, P., Dumas, L., Helleboid, Y., Lejeune, P., Tulula, P.",55906820300;6507314197;7005415479;6508254739;7005736866;6506679042;,Facilitating the comprehension of C programs: An experimental study,1993,IEEE International Conference on Program Comprehension,,,263906,55,63,,2,10.1109/WPC.1993.263906,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85013920378&doi=10.1109%2fWPC.1993.263906&partnerID=40&md5=9c8144317093216ba01b65ae4ed1e765,Conference Paper,Final,,Scopus,2-s2.0-85013920378
"Canfora, G., Cimitile, A., Munro, M., Tortorella, M.",7006337131;7004007072;7102691854;7003456054;,Experiments in identifying reusable abstract data types in program code,1993,IEEE International Conference on Program Comprehension,,,263908,36,45,,9,10.1109/WPC.1993.263908,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84987257578&doi=10.1109%2fWPC.1993.263908&partnerID=40&md5=0f869508080728908f70756da3ed7f22,Conference Paper,Final,,Scopus,2-s2.0-84987257578
"Bertolino, A., Marré, M.",57195948765;7102070786;,Deriving path expressions recursively,1993,IEEE International Conference on Program Comprehension,,,263893,177,185,,1,10.1109/WPC.1993.263893,https://www.scopus.com/inward/record.uri?eid=2-s2.0-19144367044&doi=10.1109%2fWPC.1993.263893&partnerID=40&md5=7628c33a07e9c13798786e0159ae25ba,Conference Paper,Final,,Scopus,2-s2.0-19144367044
"Arab, M.",57190035806;,Enhancing Program Comprehension: Formatting and documenting,1992,ACM SIGPLAN Notices,27,2,,37,46,,4,10.1145/130973.130975,https://www.scopus.com/inward/record.uri?eid=2-s2.0-27744595257&doi=10.1145%2f130973.130975&partnerID=40&md5=6a4ae5317f7ca9cd97a1988e37ac70b8,Article,Final,,Scopus,2-s2.0-27744595257
"Miller, L.",57198533648;,Panel on: Program understanding-does it offer hope for aging software?,1992,Proceedings - KBSE 1992: 7th Knowledge-Based Software Engineering Conference,,,252917,238,242,,2,10.1109/KBSE.1992.252917,https://www.scopus.com/inward/record.uri?eid=2-s2.0-20144370511&doi=10.1109%2fKBSE.1992.252917&partnerID=40&md5=380dde323c36554523c8a561d7f436ad,Conference Paper,Final,,Scopus,2-s2.0-20144370511
"Ören, T.I., Wendt, R.N., King, D.G., Abou-Rabia, O., Birta, L.G.",7003546974;24319157200;56220744900;6506131807;7003683044;,A template-oriented approach for simulation program understanding,1992,Mathematics and Computers in Simulation,34,3-4,,219,229,,,10.1016/0378-4754(92)90003-Y,https://www.scopus.com/inward/record.uri?eid=2-s2.0-44049112282&doi=10.1016%2f0378-4754%2892%2990003-Y&partnerID=40&md5=a262ca723a0b66206574b22efbe5f511,Article,Final,,Scopus,2-s2.0-44049112282
"Kozaczynski, W., Ning, J., Sarver, T.",55996050300;7102914803;57208794719;,Program concept recognition,1992,Proceedings - KBSE 1992: 7th Knowledge-Based Software Engineering Conference,,,252919,216,225,,13,10.1109/KBSE.1992.252919,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85063462105&doi=10.1109%2fKBSE.1992.252919&partnerID=40&md5=dddcec8d3d7b055e0998a9edff15e35c,Conference Paper,Final,,Scopus,2-s2.0-85063462105
"Kozaczynski, W., Ning, J., Engberts, A.",55996050300;7102914803;6507396000;,Program Concept Recognition and Transformation,1992,IEEE Transactions on Software Engineering,18,12,,1065,1075,,74,10.1109/32.184761,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0001586695&doi=10.1109%2f32.184761&partnerID=40&md5=f5645f381c91e5b2de364f90169ee100,Article,Final,,Scopus,2-s2.0-0001586695
"Koenemann, J., Robertson, S.P.",6507676457;35220420400;,Expert problem solving strategies for program comprehension,1991,Conference on Human Factors in Computing Systems - Proceedings,,,,125,130,,69,10.1145/108844.108863,https://www.scopus.com/inward/record.uri?eid=2-s2.0-14944367710&doi=10.1145%2f108844.108863&partnerID=40&md5=b06f74d3972b8dab32ec1276098299c2,Conference Paper,Final,,Scopus,2-s2.0-14944367710
"Corritore, C.L., Wiedenbeck, S.",6602229858;6603958036;,What Do Novices Learn During Program Comprehension?,1991,International Journal of Human-Computer Interaction,3,2,,199,222,,48,10.1080/10447319109526004,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84963193709&doi=10.1080%2f10447319109526004&partnerID=40&md5=d878361e13b40bf11913f7658102bb6b,Article,Final,,Scopus,2-s2.0-84963193709
"Robson, D.J., Bennett, K.H., Cornelius, B.J., Munro, M.",7101984126;57203195971;6603404569;7102691854;,Approaches to program comprehension,1991,The Journal of Systems and Software,14,2,,79,84,,32,10.1016/0164-1212(91)90092-K,https://www.scopus.com/inward/record.uri?eid=2-s2.0-50749134779&doi=10.1016%2f0164-1212%2891%2990092-K&partnerID=40&md5=2443d7daaf8d2eb9eddb31f741ef383c,Article,Final,,Scopus,2-s2.0-50749134779
"Wilde, N., Huitt, R.",7004450963;6504592822;,Maintenance support for object oriented programs,1991,Proceedings - Conference on Software Maintenance 1991,,,160324,162,170,,8,10.1109/ICSM.1991.160324,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85025025255&doi=10.1109%2fICSM.1991.160324&partnerID=40&md5=cade4d75517658280c0f47e07bb9937a,Conference Paper,Final,,Scopus,2-s2.0-85025025255
"Harrold, M.J., Malloy, B.",7005482239;7003918374;,A unified interprocedural program representation for a maintenance environment,1991,Proceedings - Conference on Software Maintenance 1991,,,160320,138,147,,3,10.1109/ICSM.1991.160320,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0039058771&doi=10.1109%2fICSM.1991.160320&partnerID=40&md5=77f6b8dcaf2a7cea64b3cb9de55ac800,Conference Paper,Final,,Scopus,2-s2.0-0039058771
"Breuer, P.T., Lano, K.",24300456800;7004126438;,Creating specifications from code: Reverse‐engineering techniques,1991,Journal of Software Maintenance: Research and Practice,3,3,,145,162,,35,10.1002/smr.4360030303,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84987184897&doi=10.1002%2fsmr.4360030303&partnerID=40&md5=0ac40ca3805a2bed4e188db0c676f4f9,Article,Final,,Scopus,2-s2.0-84987184897
"Helm, R., Holland, I.M., Gangopadhyay, D.",35510574600;7005927366;6701780259;,Contracts: Specifying behavioral compositions in object-oriented systems,1990,"Proceedings of the European Conference on Object-Oriented Programming on Object-Oriented Programming Systems, Languages, and Applications, OOPSLA/ECOOP 1990",,,,169,180,,58,10.1145/97945.97967,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84976822460&doi=10.1145%2f97945.97967&partnerID=40&md5=433efb9e4d5fb994fc784cc84e7b21ca,Conference Paper,Final,,Scopus,2-s2.0-84976822460
"Oman, P.W., Cook, C.R.",7003315558;7402436141;,Typographic Style is More than Cosmetic,1990,Communications of the ACM,33,5,,506,520,,49,10.1145/78607.78611,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0025420833&doi=10.1145%2f78607.78611&partnerID=40&md5=81d7591c8cf6d85a581c96487d2cae8b,Article,Final,,Scopus,2-s2.0-0025420833
"Sonnenwald, Diane H., Gopinath, B., Haberman, Gary O., Keese, William M., Myers, John S.",6603988432;7004909896;6505487148;6603294695;7402995974;,InfoSound: An audio aid to program comprehension,1990,Proceedings of the Hawaii International Conference on System Science,2,,,541,546,,19,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0025227585&partnerID=40&md5=9934bd1287f9d815ae3422c50f9f7ef3,Conference Paper,Final,,Scopus,2-s2.0-0025227585
